morphotype,Nr. of specimen,Size,Scale,scl,
cole041,15,4.9,1,1,
cole041,16,5,1,1,
cole042,1,4.6,1,1,
cole042,2,4.7,1,1,
cole043,1,9.8,1,1,
cole043,2,9.7,1,1,
cole043,3,9.9,1,1,
cole043,4,10.4,2,2,
cole044,1,8.7,1,1,
cole044,2,6.4,1,1,
cole044,3,7.6,1,1,
cole044,4,7.3,1,1,
cole044,5,6,1,1,
cole044,6,6.7,1,1,
cole044,7,7.2,1,1,
cole044,8,8.6,1,1,
cole044,9,6.3,1,1,
cole044,10,6.1,1,1,
cole045,1,10.2,2,2,
cole045,2,11,2,2,
cole045,3,8.8,2,2,
cole045,4,10.6,2,2,
cole046,1,2.5,1,1,
cole047,1,4,1,1,
cole048,1,6.4,1,1,
cole048,2,6.1,1,1,
cole048,3,6.9,1,1,
cole048,4,6.6,1,1,
cole048,5,6.5,1,1,
cole050,1,2.8,0.5,0.5,
cole050,2,2.6,0.5,0.5,
cole051,1,3.8,0.5,0.5,
cole051,2,8.8,1,1,
cole052,1,4.5,0.5,0.5,
cole052,2,4.3,0.5,0.5,
cole052,3,4,0.5,0.5,
cole052,4,3.8,0.5,0.5,
cole052,5,4.2,0.5,0.5,
cole054,1,6.2,1,1,
cole054,2,5,1,1,
cole054,3,4.8,1,1,
cole054,4,5.2,1,1,
cole055,1,4.6,1,1,
cole056,1,5.6,1,1,
cole056,2,6.4,1,1,
cole056,3,6.8,1,1,
cole056,4,9.3,1,1,
cole057,1,6,1,1,
cole058,1,4,1,1,
cole059,1,5.1,1,1,
cole059,2,3.6,0.5,0.5,
cole059,3,3.9,0.5,0.5,
cole059,4,2.1,0.5,0.5,
cole059,5,4.3,0.5,0.5,
cole059,6,5.5,1,1,
cole059,7,5.7,1,1,
cole059,8,7,1,1,
cole059,9,6,1,1,
cole059,10,6,1,1,
cole059,11,5.3,1,1,
cole059,12,4,1,1,
cole059,13,3.5,1,1,
cole059,14,3.7,1,1,
cole059,15,4.9,1,1,
cole059,16,5.5,1,1,
cole059,17,2.8,1,1,
cole059,18,6,1,1,
cole059,19,5.2,1,1,
cole059,20,4.3,1,1,
cole060,1,18.4,2,2,
cole060,2,19.2,2,2,
cole060,3,19.4,2,2,
cole060,4,17,2,2,
cole060,5,18.4,2,2,
cole060,6,18.4,2,2,
cole060,7,17.6,2,2,
cole060,8,21.5,1,1,
cole060,9,22,1,1,
cole060,10,18.3,2,2,
cole060,11,18.4,2,2,
cole060,12,19,2,2,
cole060,13,16.6,2,2,
cole060,14,18.8,2,2,
cole060,15,18.8,2,2,
cole060,16,17,2,2,
cole060,17,18.8,2,2,
cole060,18,21,1,1,
cole060,19,18,2,2,
cole060,20,18.2,2,2,
cole061,1,9.6,2,2,
cole061,2,11,2,2,
cole061,3,11.2,2,2,
cole061,4,11.3,2,2,
cole061,5,10,2,2,
cole061,6,11,2,2,
cole061,7,10.4,2,2,
cole061,8,10.4,2,2,
cole061,9,11.6,2,2,
cole062,1,4.8,1,1,
cole062,2,4.8,1,1,
cole062,3,5.2,1,1,
cole062,4,5,1,1,
cole062,5,4.8,1,1,
cole062,6,4.6,1,1,
cole063,1,3.7,0.5,0.5,
cole063,2,4.1,0.5,0.5,
cole063,3,4.1,0.5,0.5,
cole063,4,3.4,0.5,0.5,
cole064,1,7.9,2,2,
cole065,1,31,,0,
cole066,1,10.2,2,2,
cole067,1,9.9,2,2,
cole068,1,4.7,0.5,0.5,
cole068,2,3.3,0.5,0.5,
cole068,3,4.1,0.5,0.5,
cole068,4,2.7,0.5,0.5,
cole068,5,2.6,0.5,0.5,
cole068,6,4.1,0.5,0.5,
cole069,1,5.6,1,1,
cole070,1,8.2,1,1,
cole070,2,8.6,1,1,
cole070,3,8.5,1,1,
cole070,4,7.1,1,1,
cole070,5,6,1,1,
cole070,6,8.6,1,1,
cole070,7,7.5,1,1,
cole071,1,14,2,2,
cole071,2,9.6,2,2,
cole071,3,13.2,2,2,
cole071,4,11.6,2,2,
cole071,5,12.6,2,2,
cole071,6,12.4,2,2,
cole071,7,14,2,2,
cole071,8,12,2,2,
cole071,9,9.4,2,2,
cole071,10,17.2,2,2,
cole071,11,16.8,2,2,
cole071,12,10.4,2,2,
cole071,13,13.6,2,2,
cole071,14,16.4,2,2,
cole071,15,12,2,2,
cole071,16,9.6,2,2,
cole072,1,2.4,0.5,0.5,
cole073,1,7.7,1,1,
cole073,2,4.9,1,1,
cole074,1,3.9,0.5,0.5,
cole075,1,8.2,1,1,
cole075,2,7.1,1,1,
cole075,3,6.3,1,1,
cole075,4,5,1,1,
cole075,5,8.1,1,1,
cole076,1,4.9,1,1,
cole076,2,8.3,1,1,
cole076,3,6.4,1,1,
cole077,1,9,1,1,
cole078,1,7.5,1,1,
cole079,1,11.2,1,1,
cole080,1,8,1,1,
cole080,2,8.2,1,1,
cole080,3,8.1,1,1,
cole080,4,8.7,1,1,
cole081,1,2.6,0.5,0.5,
cole081,2,2.4,0.5,0.5,
cole081,3,2.5,0.5,0.5,
cole081,4,2.9,0.5,0.5,
cole081,5,2.4,0.5,0.5,
cole081,6,2.8,0.5,0.5,
cole081,7,2.9,0.5,0.5,
cole081,8,2.9,0.5,0.5,
cole082,1,19.8,2,2,
cole082,2,19,2,2,
cole083,1,13,2,2,
cole083,2,10.4,2,2,
cole084,1,11,2,2,
cole085,1,6.3,1,1,
cole086,1,4.5,1,1,
cole087,1,7.6,1,1,
cole087,2,10.6,2,2,
cole088,1,9.8,1,1,
cole089,1,5.3,1,1,
cole090,1,4.3,1,1,
cole091,1,5.3,1,1,
cole091,2,5.5,1,1,
cole091,3,5.6,1,1,
cole091,4,5.3,1,1,
cole091,5,5.5,1,1,
cole091,6,5.6,1,1,
cole091,7,5.7,1,1,
cole091,8,5.9,1,1,
cole091,9,5.7,1,1,
cole091,10,5.5,1,1,
cole091,11,5.3,1,1,
cole092,1,6.7,1,1,
cole093,1,3.9,0.5,0.5,
cole095,1,5.3,1,1,
cole096,1,4.7,1,1,
cole097,1,8.2,1,1,
cole098,1,14,2,2,
cole099,1,12.2,2,2,
cole100,1,8.3,1,1,
cole100,2,6,1,1,
cole101,1,10,2,2,
cole103,1,8.2,1,1,
cole104,1,7.1,1,1,
cole105,1,3.1,0.5,0.5,
cole106,1,3.1,0.5,0.5,
cole106,2,2.9,0.5,0.5,
cole107,1,3.2,0.5,0.5,
cole108,1,4.5,0.5,0.5,
cole112,1,13.6,2,2,
cole112,2,16.2,2,2,
cole112,3,17.8,2,2,
cole112,4,32,1,1,
cole112,5,32,1,1,
cole112,6,13.8,2,2,
cole112,7,13.4,2,2,
cole112,8,17.8,2,2,
cole112,9,24.8,1,1,
cole112,10,27.6,1,1,
cole112,11,27,1,1,
cole112,12,15,2,2,
cole113,1,29.5,1,1,
cole113,2,32.5,1,1,
cole114,1,13,2,2,
cole114,2,15.8,2,2,
cole114,3,13,2,2,
cole114,4,10.6,2,2,
cole114,5,16,2,2,
cole114,6,17,2,2,
cole114,7,11.6,2,2,
cole114,8,10.6,2,2,
cole114,9,10.6,2,2,
cole114,10,13.6,2,2,
cole114,11,13,2,2,
cole114,12,15.2,2,2,
cole114,13,23,2,2,
cole115,1,15.6,2,2,
cole115,2,18.2,2,2,
cole116,1,8.5,1,1,
cole116,2,9,1,1,
cole116,3,7.9,1,1,
cole116,4,7.8,1,1,
cole116,5,7.9,1,1,
cole116,6,6.5,1,1,
cole116,7,8.7,1,1,
cole116,8,8.1,1,1,
cole116,9,6.4,1,1,
cole116,10,8.6,1,1,
cole116,11,6.9,1,1,
cole116,12,6.9,1,1,
cole116,13,8.1,1,1,
cole116,14,9.3,1,1,
cole116,15,8.3,1,1,
cole116,16,10.7,1,1,
cole116,17,8.8,1,1,
cole116,18,10.2,1,1,
cole116,19,8,1,1,
cole116,20,8.4,1,1,
cole117,1,13.4,2,2,
cole117,2,12.8,2,2,
cole118,1,8.4,1,1,
cole118,2,8.5,1,1,
cole118,3,8.5,1,1,
cole118,4,8.9,1,1,
cole118,5,9.8,1,1,
cole118,6,13,2,2,
cole118,7,12.6,2,2,
cole118,8,10.6,1,1,
cole118,9,9.8,1,1,
cole118,10,6.9,1,1,
cole118,11,8.1,1,1,
cole118,12,8.1,1,1,
cole118,13,9.5,1,1,
cole118,14,8.4,1,1,
cole118,15,9.4,1,1,
cole118,16,10.1,1,1,
cole118,17,10.8,2,2,
cole118,18,11.3,2,2,
cole118,19,11,2,2,
cole118,20,12.6,2,2,
cole119,1,8.8,1,1,
cole119,2,6.5,1,1,
cole119,3,7.5,1,1,
cole119,4,6.7,1,1,
cole119,5,6.6,1,1,
cole119,6,9.1,1,1,
cole119,7,9.9,1,1,
cole119,8,8.1,1,1,
cole119,9,8.7,1,1,
cole119,10,7.3,1,1,
cole119,11,6.6,1,1,
cole119,12,7.3,1,1,
cole119,13,7.9,1,1,
cole119,14,8.8,1,1,
cole119,15,9.5,1,1,
cole119,16,8,1,1,
cole119,17,8.3,1,1,
cole119,18,9.5,1,1,
cole119,19,7.2,1,1,
cole119,20,9.2,1,1,
cole120,1,13.4,2,2,
cole120,2,10.8,2,2,
cole120,3,11.4,2,2,
cole121,1,14.6,2,2,
cole122,1,14.4,2,2,
cole122,2,11.4,2,2,
cole122,3,9.2,2,2,
cole122,4,14.6,2,2,
cole122,5,9.5,2,2,
cole123,1,12,2,2,
cole124,1,10.6,2,2,
cole124,2,9.8,1,1,
cole124,3,6,1,1,
cole124,4,7.7,1,1,
cole124,5,8,1,1,
cole124,6,9.6,1,1,
cole124,7,6.7,1,1,
cole124,8,6.7,1,1,
cole124,9,11.3,2,2,
cole124,10,8.7,1,1,
cole124,11,8.5,1,1,
cole124,12,7.4,1,1,
cole124,13,7.3,1,1,
cole124,14,6.8,1,1,
cole124,15,9.6,1,1,
cole124,16,9.8,1,1,
cole124,17,7.8,1,1,
cole124,18,10.4,2,2,
cole124,19,7.6,1,1,
cole124,20,7.4,1,1,
cole125,1,11.8,2,2,
cole125,2,11.2,2,2,
cole125,3,11.2,2,2,
cole125,4,9.7,1,1,
cole125,5,9.1,1,1,
cole126,1,6.6,1,1,
cole126,2,8.8,1,1,
cole126,3,9.2,1,1,
cole126,4,9.9,1,1,
cole126,5,10.8,2,2,
cole126,6,12.3,2,2,
cole126,7,10.6,2,2,
cole126,8,10.8,2,2,
cole126,9,13.8,2,2,
cole126,10,9.8,1,1,
cole126,11,8,1,1,
cole127,1,9.4,1,1,
cole127,2,11.3,2,2,
cole127,3,9.6,1,1,
cole127,4,9.5,1,1,
cole127,5,10,1,1,
cole128,1,7.1,1,1,
cole128,2,8.7,1,1,
cole128,3,8.6,1,1,
cole129,1,10.6,2,2,
cole130,1,18.4,2,2,
cole130,2,20.6,2,2,
cole130,3,17.6,2,2,
cole130,4,21.2,2,2,
cole131,1,24.8,1,1,
cole131,2,23.8,1,1,
cole131,3,19.4,2,2,
cole132,1,43,1,1,
cole132,2,24.5,1,1,
cole133,1,23,1,1,
cole134,1,14.4,2,2,
cole135,1,7.7,1,1,
cole136,1,13.6,2,2,
cole137,1,8.6,1,1,
cole137,2,7.7,1,1,
cole137,3,6.6,1,1,
cole137,4,7.8,1,1,
cole137,5,8,1,1,
cole137,6,7.8,1,1,
cole138,1,10.3,2,2,
cole139,1,8.4,1,1,
cole140,1,28,1,1,
cole141,1,12.4,2,2,
cole142,1,7.4,1,1,
cole143,1,5.1,1,1,
cole145,1,6.4,1,1,
cole146,1,6.9,1,1,
cole147,1,3.3,1,1,
cole148,1,10.8,2,2,
cole149,1,7.2,1,1,
cole149,2,4.4,1,1,
cole150,1,8.9,1,1,
cole150,2,10.4,2,2,
cole150,3,11,2,2,
cole151,1,9.2,1,1,
cole152,1,7.9,1,1,
