"morphotype" "amount" "plot" "tree" "date" "adult.larvae" "family"
"1123" "homo005" 1 "w1g1p2" "trems1" "" "" "homo"
"1124" "homo001" 2 "w1g1p2" "trems1" "" "" "homo"
"1125" "homo002" 1 "w1g1p2" "trems1" "" "" "homo"
"1126" "hemi006" 1 "w1g1p2" "trems1" "" "" "hemi"
"1127" "homo011" 5 "w1g1p2" "trems1" "" "" "homo"
"1128" "homo004" 3 "w1g4p2" "melamu" "" "" "homo"
"1129" "hemi011" 4 "w1g4p2" "melamu" "" "" "hemi"
"1130" "hemi012" 4 "w1g4p2" "melamu" "" "" "hemi"
"1131" "hemi008" 1 "w1g4p2" "melamu" "" "" "hemi"
"1132" "hemi009" 1 "w1g4p2" "melamu" "" "" "hemi"
"1133" "hemi29" 1 "w1g4p2" "homano" "" "" "hemi"
"1134" "hemi012" 1 "w1g4p2" "homano" "" "" "hemi"
"1135" "hemi011" 6 "w1g4p2" "melos1" "" "" "hemi"
"1136" "hemi012" 1 "w1g4p2" "melos1" "" "" "hemi"
"1137" "homo004" 1 "w1g4p2" "melos1" "" "" "homo"
"1138" "homo013" 1 "w1g4p2" "piptar" "" "" "homo"
"1139" "homo004" 2 "w1g4p2" "piptar" "" "" "homo"
"1140" "homo006" 2 "w1g4p2" "piptar" "" "" "homo"
"1141" "hemi002" 1 "w1g4p2" "piptar" "" "" "hemi"
"1142" "hemi002" 5 "w1g4p2" "tricpl" "" "" "hemi"
"1143" "hemi012" 4 "w1g4p2" "tricpl" "" "" "hemi"
"1144" "hemi011" 4 "w1g4p2" "tricpl" "" "" "hemi"
"1145" "hemi006" 10 "w1g4p2" "tricpl" "" "" "hemi"
"1146" "homo014" 1 "w1g4p2" "tricpl" "" "" "homo"
"1147" "homo004" 7 "w1g4p2" "tricpl" "" "" "homo"
"1148" "hemi030" 1 "w1g2p2" "tremor" "" "" "hemi"
"1149" "hemi006" 2 "w1g2p2" "tremor" "" "" "hemi"
"1150" "homo002" 3 "w1g2p2" "tremor" "" "" "homo"
"1151" "homo004" 11 "w1g2p2" "tremor" "" "" "homo"
"1152" "homo005" 1 "w1g2p2" "tremor" "" "" "homo"
"1153" "homo012" 6 "w1g2p2" "tremor" "" "" "homo"
"1154" "homo015" 1 "w1g2p2" "tremor" "" "" "homo"
"1155" "homo016" 3 "w1g2p2" "tremor" "" "" "homo"
"1156" "homo017" 2 "w1g2p2" "tremor" "" "" "homo"
"1157" "hemi002" 2 "w1g5p6" "piptar" "" "" "hemi"
"1158" "homo011" 1 "w1g2p2" "tremor" "" "" "homo"
"1159" "hemi012" 1 "w1g2p2" "tremor" "" "" "hemi"
"1160" "hemi009" 1 "w1g2p2" "tremor" "" "" "hemi"
"1161" "hemi031" 1 "w1g2p2" "tremor" "" "" "hemi"
"1162" "homo004" 1 "w1g2p2" "tremor" "" "" "homo"
"1163" "homo004" 2 "w1g2p2" "macata" "" "" "homo"
"1164" "homo004" 2 "w1g2p2" "viteco" "" "" "homo"
"1165" "homo006" 2 "w1g2p2" "viteco" "" "" "homo"
"1166" "hemi002" 2 "w1g2p2" "viteco" "" "" "hemi"
"1167" "hemi006" 1 "w1g2p2" "viteco" "" "" "hemi"
"1168" "hemi012" 1 "w1g2p2" "viteco" "" "" "hemi"
"1169" "hemi028" 1 "w1g2p2" "viteco" "" "" "hemi"
"1170" "hemi028" 3 "w1g2p2" "melamu" "" "" "hemi"
"1171" "homo008" 2 "w1g2p2" "melamu" "" "" "homo"
"1172" "hemi003" 3 "w1g2p2" "melamu" "" "" "hemi"
"1173" "hemi032" 1 "w1g2p2" "melamu" "" "" "hemi"
"1174" "hemi033" 1 "w1g2p2" "melamu" "" "" "hemi"
"1175" "hemi010" 15 "w1g2p2" "melamu" "" "" "hemi"
"1176" "hemi009" 23 "w1g2p2" "melamu" "" "" "hemi"
"1177" "hemi011" 31 "w1g2p2" "melamu" "" "" "hemi"
"1178" "hemi012" 42 "w1g2p2" "melamu" "" "" "hemi"
"1179" "hemi008" 32 "w1g2p2" "melamu" "" "" "hemi"
"1180" "homo004" 8 "w1g6p5" "tremor" "" "" "homo"
"1181" "homo001" 2 "w1g6p5" "tremor" "" "" "homo"
"1182" "homo012" 2 "w1g6p5" "tremor" "" "" "homo"
"1183" "hemi001" 5 "w1g6p5" "tremor" "" "" "hemi"
"1184" "hemi002" 1 "w1g6p5" "tremor" "" "" "hemi"
"1185" "hemi034" 1 "w1g6p5" "tremor" "" "" "hemi"
"1186" "hemi035" 4 "w1g6p5" "tremor" "" "" "hemi"
"1187" "hemi036" 1 "w1g6p5" "tremor" "" "" "hemi"
"1188" "hemi037" 2 "w1g6p5" "melamu" "" "" "hemi"
"1189" "hemi038" 3 "w1g6p5" "melamu" "" "" "hemi"
"1190" "hemi034" 1 "w1g6p5" "melamu" "" "" "hemi"
"1191" "hemi003" 1 "w1g6p5" "melamu" "" "" "hemi"
"1192" "hemi014" 1 "w1g6p5" "melamu" "" "" "hemi"
"1193" "hemi031" 1 "w1g6p5" "melamu" "" "" "hemi"
"1194" "hemi039" 11 "w1g6p5" "melamu" "" "" "hemi"
"1195" "hemi001" 18 "w1g6p5" "melamu" "" "" "hemi"
"1196" "homo003" 1 "w1g6p5" "melamu" "" "" "homo"
"1197" "homo004" 25 "w1g6p5" "melamu" "" "" "homo"
"1198" "homo001" 1 "w1g6p5" "piptar" "" "" "homo"
"1199" "homo003" 3 "w1g6p5" "piptar" "" "" "homo"
"1200" "homo009" 2 "w1g6p5" "piptar" "" "" "homo"
"1201" "hemi030" 1 "w1g6p5" "piptar" "" "" "hemi"
"1202" "hemi025" 1 "w1g6p5" "piptar" "" "" "hemi"
"1203" "hemi003" 1 "w1g6p5" "piptar" "" "" "hemi"
"1204" "hemi018" 1 "w1g6p5" "piptar" "" "" "hemi"
"1205" "hemi014" 2 "w1g6p5" "piptar" "" "" "hemi"
"1206" "hemi002" 1 "w1g6p5" "piptar" "" "" "hemi"
"1207" "hemi001" 18 "w1g6p5" "piptar" "" "" "hemi"
"1208" "homo004" 36 "w1g6p5" "piptar" "" "" "homo"
"1209" "homo002" 2 "w1g6p5" "piptar" "" "" "homo"
"1210" "hemi040" 1 "w1g6p5" "piptar" "" "" "hemi"
"1211" "hemi038" 1 "w1g6p5" "piptar" "" "" "hemi"
"1212" "hemi017" 11 "w1g6p5" "piptar" "" "" "hemi"
"1213" "hemi031" 1 "w1g6p5" "piptar" "" "" "hemi"
"1214" "hemi034" 1 "w1g6p5" "piptar" "" "" "hemi"
"1215" "hemi005" 1 "w1g6p5" "piptar" "" "" "hemi"
"1216" "hemi021" 1 "w1g6p5" "piptar" "" "" "hemi"
"1217" "homo003" 1 "w1g6p5" "tricpl" "" "" "homo"
"1218" "homo012" 3 "w1g6p5" "tricpl" "" "" "homo"
"1219" "homo004" 10 "w1g6p5" "tricpl" "" "" "homo"
"1220" "hemi035" 1 "w1g6p5" "tricpl" "" "" "hemi"
"1221" "homo002" 1 "w1g6p5" "tricpl" "" "" "homo"
"1222" "hemi001" 29 "w1g6p5" "tricpl" "" "" "hemi"
"1223" "hemi003" 5 "w1g6p5" "tricpl" "" "" "hemi"
"1224" "hemi041" 1 "w1g6p5" "tricpl" "" "" "hemi"
"1225" "hemi038" 1 "w1g6p5" "tricpl" "" "" "hemi"
"1226" "hemi021" 1 "w1g6p5" "tricpl" "" "" "hemi"
"1227" "hemi042" 1 "w1g6p5" "tricpl" "" "" "hemi"
"1228" "hemi026" 2 "w1g6p5" "tricpl" "" "" "hemi"
"1229" "hemi037" 1 "w1g6p5" "tricpl" "" "" "hemi"
"1230" "hemi025" 3 "w1g6p5" "tricpl" "" "" "hemi"
"1231" "homo004" 1 "w1g1p3" "macaqu" "" "" "homo"
"1232" "homo004" 2 "w1g1p3" "tricpl" "" "" "homo"
"1233" "homo004" 4 "w1g1p3" "piptar" "" "" "homo"
"1234" "homo016" 2 "w1g1p3" "piptar" "" "" "homo"
"1235" "hemi001" 1 "w1g1p3" "piptar" "" "" "hemi"
"1236" "homo004" 10 "w1g1p3" "trems1" "" "" "homo"
"1237" "homo016" 1 "w1g1p3" "trems1" "" "" "homo"
"1238" "homo002" 1 "w1g1p3" "trems1" "" "" "homo"
"1239" "homo001" 2 "w1g1p3" "trems1" "" "" "homo"
"1240" "homo005" 2 "w1g1p3" "trems1" "" "" "homo"
"1241" "homo012" 2 "w1g1p3" "trems1" "" "" "homo"
"1242" "homo011" 1 "w1g1p3" "trems1" "" "" "homo"
"1243" "hemi043" 2 "w1g1p3" "trems1" "" "" "hemi"
"1244" "hemi044" 2 "w1g1p3" "trems1" "" "" "hemi"
"1245" "hemi045" 10 "w1g1p3" "trems1" "" "" "hemi"
"1246" "hemi046" 1 "w1g2p3" "pipeum" "" "" "hemi"
"1247" "hemi002" 2 "w1g2p3" "tremor" "" "" "hemi"
"1248" "hemi006" 13 "w1g2p3" "tremor" "" "" "hemi"
"1249" "hemi047" 1 "w1g2p3" "tremor" "" "" "hemi"
"1250" "hemi048" 1 "w1g2p3" "tremor" "" "" "hemi"
"1251" "hemi030" 2 "w1g2p3" "tremor" "" "" "hemi"
"1252" "hemi035" 2 "w1g2p3" "tremor" "" "" "hemi"
"1253" "homo004" 2 "w1g2p3" "tremor" "" "" "homo"
"1254" "homo012" 1 "w1g2p3" "tremor" "" "" "homo"
"1255" "homo008" 1 "w1g3p4" "piptar" "" "" "homo"
"1256" "homo001" 2 "w1g3p4" "piptar" "" "" "homo"
"1257" "homo006" 4 "w1g3p4" "piptar" "" "" "homo"
"1258" "homo012" 1 "w1g3p4" "piptar" "" "" "homo"
"1259" "homo004" 15 "w1g3p4" "piptar" "" "" "homo"
"1260" "homo009" 2 "w1g3p4" "piptar" "" "" "homo"
"1261" "hemi014" 2 "w1g3p4" "piptar" "" "" "hemi"
"1262" "hemi017" 1 "w1g3p4" "piptar" "" "" "hemi"
"1263" "hemi018" 2 "w1g3p4" "piptar" "" "" "hemi"
"1264" "hemi009" 2 "w1g3p4" "piptar" "" "" "hemi"
"1265" "hemi011" 2 "w1g3p4" "piptar" "" "" "hemi"
"1266" "hemi012" 2 "w1g3p4" "piptar" "" "" "hemi"
"1267" "hemi006" 4 "w1g3p4" "piptar" "" "" "hemi"
"1268" "hemi049" 1 "w1g3p4" "piptar" "" "" "hemi"
"1269" "hemi050" 1 "w1g3p4" "piptar" "" "" "hemi"
"1270" "hemi008" 1 "w1g3p4" "piptar" "" "" "hemi"
"1271" "hemi051" 1 "w1g3p4" "piptar" "" "" "hemi"
"1272" "homo004" 1 "w1g3p4" "ficuco" "" "" "homo"
"1273" "homo007" 1 "w1g3p4" "ficuco" "" "" "homo"
"1274" "homo001" 1 "w1g3p4" "ficuco" "" "" "homo"
"1275" "homo008" 2 "w1g3p4" "ficuco" "" "" "homo"
"1276" "homo006" 1 "w1g3p4" "ficucg" "" "" "homo"
"1277" "homo004" 2 "w1g3p4" "ficucg" "" "" "homo"
"1278" "homo004" 13 "w1g3p4" "melamu" "" "" "homo"
"1279" "homo008" 1 "w1g3p4" "melamu" "" "" "homo"
"1280" "homo012" 1 "w1g3p4" "melamu" "" "" "homo"
"1281" "hemi012" 18 "w1g3p4" "melamu" "" "" "hemi"
"1282" "hemi011" 5 "w1g3p4" "melamu" "" "" "hemi"
"1283" "hemi010" 3 "w1g3p4" "melamu" "" "" "hemi"
"1284" "hemi008" 4 "w1g3p4" "melamu" "" "" "hemi"
"1285" "hemi009" 11 "w1g3p4" "melamu" "" "" "hemi"
"1286" "hemi006" 1 "w1g5p3" "piptar" "" "" "hemi"
"1287" "hemi052" 1 "w1g5p3" "piptar" "" "" "hemi"
"1288" "hemi053" 1 "w1g5p3" "prems1" "" "" "hemi"
"1289" "hemi039" 9 "w1g4p3" "melos1" "" "" "hemi"
"1290" "hemi028" 2 "w1g4p3" "melos1" "" "" "hemi"
"1291" "hemi028" 1 "w1g4p3" "melamu" "" "" "hemi"
"1292" "homo004" 4 "w1g4p3" "melamu" "" "" "homo"
"1293" "hemi028" 1 "w1g4p3" "tricpl" "" "" "hemi"
"1294" "hemi036" 1 "w1g4p3" "tricpl" "" "" "hemi"
"1295" "hemi021" 1 "w1g4p3" "tricpl" "" "" "hemi"
"1296" "hemi001" 1 "w1g6p3" "macata" "" "" "hemi"
"1297" "hemi002" 1 "w1g6p3" "macata" "" "" "hemi"
"1298" "hemi001" 25 "w1g6p3" "tremor" "" "" "hemi"
"1299" "hemi002" 36 "w1g6p3" "tremor" "" "" "hemi"
"1300" "hemi004" 1 "w1g6p3" "tremor" "" "" "hemi"
"1301" "hemi020" 1 "w1g6p3" "tremor" "" "" "hemi"
"1302" "hemi054" 1 "w1g6p3" "tremor" "" "" "hemi"
"1303" "hemi014" 1 "w1g6p3" "breyce" "" "" "hemi"
"1304" "homo002" 2 "w1g6p3" "tricpl" "" "" "homo"
"1305" "homo004" 2 "w1g6p3" "tricpl" "" "" "homo"
"1306" "homo003" 1 "w1g6p3" "tricpl" "" "" "homo"
"1307" "homo013" 1 "w1g6p3" "tricpl" "" "" "homo"
"1308" "hemi002" 4 "w1g6p3" "tricpl" "" "" "hemi"
"1309" "hemi001" 12 "w1g6p3" "tricpl" "" "" "hemi"
"1310" "hemi030" 1 "w1g6p3" "tricpl" "" "" "hemi"
"1311" "hemi047" 1 "w1g6p3" "tricpl" "" "" "hemi"
"1312" "hemi016" 3 "w1g6p3" "piptar" "" "" "hemi"
"1313" "hemi014" 4 "w1g6p3" "piptar" "" "" "hemi"
"1314" "hemi011" 1 "w1g6p3" "piptar" "" "" "hemi"
"1315" "hemi047" 1 "w1g6p3" "piptar" "" "" "hemi"
"1316" "hemi026" 1 "w1g6p3" "piptar" "" "" "hemi"
"1317" "hemi038" 1 "w1g6p3" "piptar" "" "" "hemi"
"1318" "homo009" 1 "w1g6p3" "piptar" "" "" "homo"
"1319" "homo002" 2 "w1g6p3" "piptar" "" "" "homo"
"1320" "homo016" 3 "w1g6p3" "piptar" "" "" "homo"
"1321" "homo001" 1 "w1g6p3" "piptar" "" "" "homo"
"1322" "homo005" 2 "w1g6p3" "piptar" "" "" "homo"
"1323" "homo012" 1 "w1g6p3" "piptar" "" "" "homo"
"1324" "homo003" 2 "w1g6p3" "piptar" "" "" "homo"
"1325" "homo004" 12 "w1g6p3" "piptar" "" "" "homo"
"1326" "hemi001" 36 "w1g6p3" "piptar" "" "" "hemi"
"1327" "hemi002" 30 "w1g6p3" "piptar" "" "" "hemi"
"1328" "hemi017" 5 "w1g6p3" "piptar" "" "" "hemi"
"1329" "hemi030" 2 "w1g6p3" "piptar" "" "" "hemi"
"1330" "hemi055" 1 "w1g6p3" "piptar" "" "" "hemi"
"1331" "hemi056" 1 "w1g6p3" "piptar" "" "" "hemi"
"1332" "homo004" 5 "w1g6p3" "macata" "" "" "homo"
"1333" "homo002" 2 "w1g6p3" "macata" "" "" "homo"
"1334" "homo004" 3 "w1g6p3" "tremor" "" "" "homo"
"1335" "homo001" 1 "w1g6p3" "tremor" "" "" "homo"
"1336" "homo016" 1 "w1g6p3" "tremor" "" "" "homo"
"1337" "homo005" 1 "w1g6p3" "tremor" "" "" "homo"
"1338" "hemi006" 1 "w1g6p3" "tremor" "" "" "hemi"
"1339" "homo011" 1 "w1g2p5" "piptar" "" "" "homo"
"1340" "homo001" 1 "w1g2p5" "piptar" "" "" "homo"
"1341" "hemi004" 7 "w1g2p5" "piptar" "" "" "hemi"
"1342" "homo012" 1 "w1g2p5" "piptar" "" "" "homo"
"1343" "hemi006" 1 "w1g2p5" "piptar" "" "" "hemi"
"1344" "hemi012" 1 "w1g2p5" "piptar" "" "" "hemi"
"1345" "hemi008" 1 "w1g2p5" "piptar" "" "" "hemi"
"1346" "hemi025" 1 "w1g2p5" "piptar" "" "" "hemi"
"1347" "hemi057" 1 "w1g2p5" "piptar" "" "" "hemi"
"1348" "homo004" 6 "w1g3p1" "melamu" "" "" "homo"
"1349" "homo009" 1 "w1g3p1" "melamu" "" "" "homo"
"1350" "hemi003" 1 "w1g3p1" "melamu" "" "" "hemi"
"1351" "hemi008" 21 "w1g3p1" "melamu" "" "" "hemi"
"1352" "hemi009" 24 "w1g3p1" "melamu" "" "" "hemi"
"1353" "hemi010" 1 "w1g3p1" "melamu" "" "" "hemi"
"1354" "hemi011" 4 "w1g3p1" "melamu" "" "" "hemi"
"1355" "hemi012" 3 "w1g3p1" "melamu" "" "" "hemi"
"1356" "homo008" 2 "w1g3p1" "piptar" "" "" "homo"
"1357" "homo018" 2 "w1g3p1" "piptar" "" "" "homo"
"1358" "homo005" 1 "w1g3p1" "piptar" "" "" "homo"
"1359" "homo006" 2 "w1g3p1" "piptar" "" "" "homo"
"1360" "homo007" 1 "w1g3p1" "piptar" "" "" "homo"
"1361" "homo004" 30 "w1g3p1" "piptar" "" "" "homo"
"1362" "homo009" 11 "w1g3p1" "piptar" "" "" "homo"
"1363" "hemi006" 10 "w1g3p1" "piptar" "" "" "hemi"
"1364" "hemi002" 1 "w1g3p1" "piptar" "" "" "hemi"
"1365" "hemi014" 3 "w1g3p1" "piptar" "" "" "hemi"
"1366" "hemi047" 1 "w1g3p1" "piptar" "" "" "hemi"
"1367" "hemi010" 2 "w1g3p1" "piptar" "" "" "hemi"
"1368" "hemi009" 2 "w1g3p1" "piptar" "" "" "hemi"
"1369" "hemi017" 5 "w1g3p1" "piptar" "" "" "hemi"
"1370" "hemi012" 2 "w1g3p1" "piptar" "" "" "hemi"
"1371" "hemi023" 4 "w1g3p1" "piptar" "" "" "hemi"
"1372" "hemi058" 1 "w1g3p1" "piptar" "" "" "hemi"
"1373" "hemi059" 1 "w1g3p1" "piptar" "" "" "hemi"
"1374" "homo002" 1 "w1g5p5" "prems1" "" "" "homo"
"1375" "homo004" 1 "w1g5p5" "macaqu" "" "" "homo"
"1376" "homo001" 1 "w1g5p5" "macaqu" "" "" "homo"
"1377" "hemi006" 1 "w1g5p5" "macaqu" "" "" "hemi"
"1378" "hemi001" 1 "w1g5p5" "macaqu" "" "" "hemi"
"1379" "hemi002" 1 "w1g5p5" "ficuco" "" "" "hemi"
"1380" "hemi017" 1 "w1g5p5" "piptar" "" "" "hemi"
"1381" "hemi001" 20 "w1g5p5" "piptar" "" "" "hemi"
"1382" "hemi002" 25 "w1g5p5" "piptar" "" "" "hemi"
"1383" "hemi055" 6 "w1g5p5" "piptar" "" "" "hemi"
"1384" "hemi047" 1 "w1g5p5" "piptar" "" "" "hemi"
"1385" "hemi060" 1 "w1g5p5" "piptar" "" "" "hemi"
"1386" "hemi061" 8 "w1g5p5" "piptar" "" "" "hemi"
"1387" "hemi062" 1 "w1g5p5" "piptar" "" "" "hemi"
"1388" "hemi006" 1 "w1g5p5" "piptar" "" "" "hemi"
"1389" "hemi063" 1 "w1g5p5" "piptar" "" "" "hemi"
"1390" "hemi064" 1 "w1g5p5" "piptar" "" "" "hemi"
"1391" "homo001" 3 "w1g5p5" "piptar" "" "" "homo"
"1392" "homo002" 5 "w1g5p5" "piptar" "" "" "homo"
"1393" "homo003" 1 "w1g5p5" "piptar" "" "" "homo"
"1394" "homo004" 16 "w1g5p5" "piptar" "" "" "homo"
"1395" "homo005" 1 "w1g5p5" "piptar" "" "" "homo"
"1396" "homo011" 2 "w1g5p5" "piptar" "" "" "homo"
"1397" "homo013" 1 "w1g5p5" "piptar" "" "" "homo"
"1398" "homo017" 1 "w1g5p5" "piptar" "" "" "homo"
"1399" "homo004" 2 "w1g2p1" "melamu" "" "" "homo"
"1400" "hemi008" 2 "w1g2p1" "melamu" "" "" "hemi"
"1401" "hemi009" 3 "w1g2p1" "melamu" "" "" "hemi"
"1402" "hemi011" 3 "w1g2p1" "melamu" "" "" "hemi"
"1403" "hemi012" 2 "w1g2p1" "melamu" "" "" "hemi"
"1404" "hemi065" 1 "w1g2p1" "melamu" "" "" "hemi"
"1405" "homo004" 1 "w1g5p4" "cordte" "" "" "homo"
"1406" "homo001" 1 "w1g5p4" "cordte" "" "" "homo"
"1407" "homo003" 1 "w1g5p4" "cordte" "" "" "homo"
"1408" "hemi031" 2 "w1g5p4" "cordte" "" "" "hemi"
"1409" "hemi012" 2 "w1g5p4" "cordte" "" "" "hemi"
"1410" "hemi011" 2 "w1g5p4" "cordte" "" "" "hemi"
"1411" "hemi010" 1 "w1g5p4" "cordte" "" "" "hemi"
"1412" "homo013" 1 "w1g5p4" "piptar" "" "" "homo"
"1413" "homo004" 4 "w1g5p4" "piptar" "" "" "homo"
"1414" "homo003" 1 "w1g5p4" "piptar" "" "" "homo"
"1415" "homo011" 1 "w1g5p4" "piptar" "" "" "homo"
"1416" "homo009" 1 "w1g5p4" "piptar" "" "" "homo"
"1417" "hemi012" 2 "w1g5p4" "piptar" "" "" "hemi"
"1418" "hemi011" 3 "w1g5p4" "piptar" "" "" "hemi"
"1419" "hemi066" 1 "w1g5p4" "piptar" "" "" "hemi"
"1420" "hemi067" 1 "w1g5p4" "piptar" "" "" "hemi"
"1421" "hemi068" 1 "w1g5p4" "piptar" "" "" "hemi"
"1422" "hemi002" 3 "w1g5p4" "melamu" "" "" "hemi"
"1423" "hemi009" 1 "w1g5p4" "melamu" "" "" "hemi"
"1424" "hemi031" 3 "w1g5p4" "melamu" "" "" "hemi"
"1425" "hemi047" 1 "w1g5p4" "melamu" "" "" "hemi"
"1426" "hemi069" 1 "w1g5p4" "melamu" "" "" "hemi"
"1427" "homo001" 1 "w1g5p4" "melamu" "" "" "homo"
"1428" "homo005" 1 "w1g5p4" "melamu" "" "" "homo"
"1429" "homo002" 1 "w1g5p4" "melamu" "" "" "homo"
"1430" "homo003" 2 "w1g5p4" "melamu" "" "" "homo"
"1431" "homo004" 31 "w1g5p4" "melamu" "" "" "homo"
"1432" "hemi010" 1 "w1g5p4" "melamu" "" "" "hemi"
"1433" "hemi008" 14 "w1g5p4" "melamu" "" "" "hemi"
"1434" "hemi070" 1 "w1g5p4" "melamu" "" "" "hemi"
"1435" "hemi025" 1 "w1g5p4" "melamu" "" "" "hemi"
"1436" "hemi009" 29 "w1g5p4" "melamu" "" "" "hemi"
"1437" "hemi011" 35 "w1g5p4" "melamu" "" "" "hemi"
"1438" "hemi012" 37 "w1g5p4" "melamu" "" "" "hemi"
"1439" "homo019" 1 "w1g1p5" "piptar" "" "" "homo"
"1440" "homo011" 3 "w1g1p5" "trems1" "" "" "homo"
"1441" "homo004" 1 "w1g1p5" "trems1" "" "" "homo"
"1442" "homo001" 1 "w1g1p5" "trems1" "" "" "homo"
"1443" "hemi002" 3 "w1g1p5" "trems1" "" "" "hemi"
"1444" "hemi001" 2 "w1g1p5" "ficuhi" "" "" "hemi"
"1445" "homo004" 1 "w1g1p5" "ficuhi" "" "" "homo"
"1446" "homo004" 1 "w1g1p5" "commba" "" "" "homo"
"1447" "homo004" 20 "w1g1p5" "melamu" "" "" "homo"
"1448" "homo016" 1 "w1g1p5" "melamu" "" "" "homo"
"1449" "hemi071" 1 "w1g5p2" "melamu" "" "" "hemi"
"1450" "hemi072" 1 "w1g5p2" "melamu" "" "" "hemi"
"1451" "hemi011" 1 "w1g5p2" "solatu" "" "" "hemi"
"1452" "homo005" 1 "w1g5p2" "solatu" "" "" "homo"
"1453" "homo001" 3 "w1g5p2" "piptar" "" "" "homo"
"1454" "homo005" 2 "w1g5p2" "piptar" "" "" "homo"
"1455" "homo006" 1 "w1g5p2" "piptar" "" "" "homo"
"1456" "homo002" 1 "w1g5p2" "piptar" "" "" "homo"
"1457" "homo004" 1 "w1g5p2" "piptar" "" "" "homo"
"1458" "hemi010" 1 "w1g5p2" "piptar" "" "" "hemi"
"1459" "hemi011" 2 "w1g5p2" "piptar" "" "" "hemi"
"1460" "hemi008" 3 "w1g5p2" "piptar" "" "" "hemi"
"1461" "hemi062" 1 "w1g5p2" "piptar" "" "" "hemi"
"1462" "hemi002" 3 "w1g5p2" "piptar" "" "" "hemi"
"1463" "hemi061" 1 "w1g5p2" "piptar" "" "" "hemi"
"1464" "hemi055" 1 "w1g5p2" "piptar" "" "" "hemi"
"1465" "homo020" 1 "w1g5p2" "piptar" "" "" "homo"
"1466" "homo001" 16 "w1g5p2" "trems1" "" "" "homo"
"1467" "homo004" 3 "w1g5p2" "trems1" "" "" "homo"
"1468" "homo002" 10 "w1g5p2" "trems1" "" "" "homo"
"1469" "homo003" 1 "w1g5p2" "trems1" "" "" "homo"
"1470" "homo013" 3 "w1g5p2" "trems1" "" "" "homo"
"1471" "homo005" 3 "w1g5p2" "trems1" "" "" "homo"
"1472" "homo020" 1 "w1g5p2" "trems1" "" "" "homo"
"1473" "homo021" 10 "w1g5p2" "trems1" "" "" "homo"
"1474" "homo011" 4 "w1g5p2" "trems1" "" "" "homo"
"1475" "hemi061" 2 "w1g5p2" "trems1" "" "" "hemi"
"1476" "hemi008" 28 "w1g5p2" "trems1" "" "" "hemi"
"1477" "hemi009" 12 "w1g5p2" "trems1" "" "" "hemi"
"1478" "hemi010" 4 "w1g5p2" "trems1" "" "" "hemi"
"1479" "hemi011" 6 "w1g5p2" "trems1" "" "" "hemi"
"1480" "hemi012" 5 "w1g5p2" "trems1" "" "" "hemi"
"1481" "homo001" 3 "w1g5p2" "melamu" "" "" "homo"
"1482" "homo002" 1 "w1g5p2" "melamu" "" "" "homo"
"1483" "homo004" 14 "w1g5p2" "melamu" "" "" "homo"
"1484" "homo005" 1 "w1g5p2" "melamu" "" "" "homo"
"1485" "hemi001" 1 "w1g5p2" "melamu" "" "" "hemi"
"1486" "hemi002" 2 "w1g5p2" "melamu" "" "" "hemi"
"1487" "hemi031" 1 "w1g5p2" "melamu" "" "" "hemi"
"1488" "hemi008" 34 "w1g5p2" "melamu" "" "" "hemi"
"1489" "hemi009" 30 "w1g5p2" "melamu" "" "" "hemi"
"1490" "hemi010" 6 "w1g5p2" "melamu" "" "" "hemi"
"1491" "hemi011" 23 "w1g5p2" "melamu" "" "" "hemi"
"1492" "hemi012" 19 "w1g5p2" "melamu" "" "" "hemi"
"1493" "hemi073" 1 "w1g5p2" "melamu" "" "" "hemi"
"1494" "hemi017" 1 "w1g6p2" "breyce" "" "" "hemi"
"1495" "hemi030" 1 "w1g6p2" "breyce" "" "" "hemi"
"1496" "hemi001" 2 "w1g6p2" "macata" "" "" "hemi"
"1497" "hemi074" 1 "w1g6p2" "macata" "" "" "hemi"
"1498" "hemi031" 2 "w1g6p2" "macata" "" "" "hemi"
"1499" "hemi016" 1 "w1g6p2" "macata" "" "" "hemi"
"1500" "hemi007" 2 "w1g6p2" "macata" "" "" "hemi"
"1501" "homo009" 1 "w1g6p2" "macata" "" "" "homo"
"1502" "homo004" 1 "w1g6p2" "macata" "" "" "homo"
"1503" "homo004" 3 "w1g6p2" "premob" "" "" "homo"
"1504" "homo016" 1 "w1g6p2" "premob" "" "" "homo"
"1505" "hemi075" 1 "w1g6p2" "premob" "" "" "hemi"
"1506" "hemi001" 4 "w1g6p2" "tremor" "" "" "hemi"
"1507" "homo003" 1 "w1g6p2" "tremor" "" "" "homo"
"1508" "homo004" 4 "w1g6p2" "tremor" "" "" "homo"
"1509" "hemi023" 1 "w1g6p2" "tricpl" "" "" "hemi"
"1510" "hemi001" 3 "w1g6p2" "tricpl" "" "" "hemi"
"1511" "homo004" 7 "w1g6p2" "tricpl" "" "" "homo"
"1512" "hemi001" 14 "w1g6p2" "piptar" "" "" "hemi"
"1513" "hemi002" 5 "w1g6p2" "piptar" "" "" "hemi"
"1514" "hemi066" 1 "w1g6p2" "piptar" "" "" "hemi"
"1515" "hemi061" 1 "w1g6p2" "piptar" "" "" "hemi"
"1516" "hemi047" 1 "w1g6p2" "piptar" "" "" "hemi"
"1517" "hemi048" 1 "w1g6p2" "piptar" "" "" "hemi"
