"morphotype" "amount" "plot" "tree" "date" "adult.larvae" "family"
"80" "orth024" 1 "w1g4p2" "homano" "7/26/2016" "" "orth"
"81" "orth045" 1 "w1g4p2" "homano" "7/26/2016" "" "orth"
"82" "orth017" 1 "w1g4p2" "homano" "7/26/2016" "L" "orth"
"83" "orth016" 1 "w1g4p2" "homano" "7/26/2016" "" "orth"
"84" "orth044" 1 "w1g4p2" "piptar" "7/26/2016" "" "orth"
"85" "orth015" 1 "w1g4p2" "piptar" "7/26/2016" "" "orth"
"86" "orth013" 1 "w1g4p2" "piptar" "7/26/2016" "" "orth"
"87" "orth019" 1 "w1g4p2" "piptar" "7/26/2016" "" "orth"
"88" "orth052" 1 "w1g4p2" "piptar" "7/26/2016" "L" "orth"
"89" "orth031" 6 "w1g4p2" "piptar" "7/26/2016" "" "orth"
"90" "orth018" 1 "w1g4p2" "melos1" "7/26/2016" "" "orth"
"91" "orth015" 1 "w1g4p2" "melos1" "7/26/2016" "" "orth"
"92" "orth019" 4 "w1g4p2" "melos1" "7/26/2016" "" "orth"
"93" "orth044" 1 "w1g4p2" "melos1" "7/26/2016" "" "orth"
"94" "orth012" 11 "w1g4p2" "melos1" "7/26/2016" "" "orth"
"95" "orth031" 10 "w1g4p2" "melos1" "7/26/2016" "" "orth"
"96" "orth001" 2 "w1g4p2" "melamu" "7/26/2016" "L" "orth"
"97" "orth020" 1 "w1g4p2" "melamu" "7/26/2016" "" "orth"
"98" "orth019" 2 "w1g4p2" "melamu" "7/26/2016" "" "orth"
"99" "orth015" 1 "w1g4p2" "melamu" "7/26/2016" "" "orth"
"100" "orth003" 3 "w1g4p2" "melamu" "7/26/2016" "" "orth"
"101" "orth014" 1 "w1g4p2" "melamu" "7/26/2016" "" "orth"
"102" "orth004" 1 "w1g4p2" "melamu" "7/26/2016" "" "orth"
"103" "orth029" 1 "w1g4p2" "melamu" "7/26/2016" "L" "orth"
"104" "orth012" 2 "w1g4p2" "melamu" "7/26/2016" "" "orth"
"105" "orth042" 1 "w1g4p2" "melamu" "7/26/2016" "" "orth"
"106" "orth032" 1 "w1g4p2" "melamu" "7/26/2016" "" "orth"
"107" "orth008" 1 "w1g4p2" "melamu" "7/26/2016" "" "orth"
"108" "orth046" 3 "w1g1p2" "mimodi" "8/15/2016" "" "orth"
"109" "orth017" 1 "w1g1p2" "mimodi" "8/15/2016" "" "orth"
"110" "orth008" 1 "w1g1p2" "trems1" "8/15/2016" "L" "orth"
"111" "orth020" 4 "w1g1p2" "trems1" "8/15/2016" "" "orth"
"112" "orth013" 1 "w1g1p2" "trems1" "8/15/2016" "" "orth"
"113" "orth015" 2 "w1g1p2" "trems1" "8/15/2016" "" "orth"
"114" "orth017" 1 "w1g1p2" "trems1" "8/15/2016" "" "orth"
"115" "orth053" 1 "w1g1p2" "trems1" "8/15/2016" "" "orth"
"116" "orth019" 1 "w1g6p3" "macata" "7/14/2016" "" "orth"
"117" "orth019" 1 "w1g6p3" "tricpl" "7/14/2016" "" "orth"
"118" "orth011" 1 "w1g6p3" "tricpl" "7/14/2016" "L" "orth"
"119" "orth033" 1 "w1g6p3" "tricpl" "7/14/2016" "" "orth"
"120" "orth024" 2 "w1g6p3" "tricpl" "7/14/2016" "" "orth"
"121" "orth037" 1 "w1g6p3" "tricpl" "7/14/2016" "" "orth"
"122" "orth050" 1 "w1g6p3" "tricpl" "7/14/2016" "" "orth"
"123" "orth030" 1 "w1g6p3" "tricpl" "7/14/2016" "" "orth"
"124" "orth020" 17 "w1g6p3" "piptar" "7/14/2016" "L" "orth"
"125" "orth001" 1 "w1g6p3" "piptar" "7/14/2016" "L" "orth"
"126" "orth019" 3 "w1g6p3" "piptar" "7/14/2016" "L" "orth"
"127" "orth003" 2 "w1g6p3" "piptar" "7/14/2016" "A" "orth"
"128" "orth002" 1 "w1g6p3" "piptar" "7/14/2016" "A" "orth"
"129" "orth051" 2 "w1g6p3" "piptar" "7/14/2016" "L" "orth"
"130" "orth025" 1 "w1g6p3" "piptar" "7/14/2016" "L" "orth"
"131" "orth035" 2 "w1g6p3" "piptar" "7/14/2016" "L" "orth"
"132" "orth024" 5 "w1g6p3" "piptar" "7/14/2016" "A" "orth"
"133" "orth044" 1 "w1g6p3" "piptar" "7/14/2016" "L" "orth"
"134" "orth013" 1 "w1g6p3" "piptar" "7/14/2016" "L" "orth"
"135" "orth043" 1 "w1g6p3" "piptar" "7/14/2016" "L" "orth"
"136" "orth028" 1 "w1g6p3" "piptar" "7/14/2016" "L" "orth"
"137" "orth026" 2 "w1g6p3" "piptar" "7/14/2016" "A" "orth"
"138" "orth052" 1 "w1g6p3" "piptar" "7/14/2016" "L" "orth"
"139" "orth054" 5 "w1g6p3" "piptar" "7/14/2016" "L" "orth"
"140" "orth033" 5 "w1g6p3" "piptar" "7/14/2016" "L" "orth"
"141" "orth020" 2 "w1g6p3" "piptar" "7/14/2016" "L" "orth"
