morph,nospec,r_cm_size
aran013,1,0.85
aran013,2,0.88
aran013,3,0.91
aran013,4,1
aran013,5,1.1
aran013,6,0.95
aran013,7,0.7
aran013,8,0.98
aran013,9,1
aran014,1,0.8
aran014,2,0.75
aran014,3,0.84
aran014,4,0.8
aran014,5,0.84
aran014,6,0.85
aran014,7,0.83
aran014,8,0.8
aran014,9,0.9
aran014,10,0.78
aran014,11,0.83
aran014,12,0.77
aran014,13,0.72
aran014,14,0.87
aran014,15,0.85
aran014,16,0.75
aran014,17,0.79
aran014,18,0.97
aran014,19,0.91
aran014,20,0.87
aran015,1,0.35
aran015,2,0.235
aran015,3,0.28
aran015,4,0.355
aran015,5,0.245
aran015,6,0.28
aran015,7,0.415
aran015,8,0.37
aran015,9,0.33
aran015,10,0.43
aran015,11,0.305
aran015,12,0.29
aran015,13,0.34
aran015,14,0.425
aran015,15,0.28
aran015,16,0.38
aran015,17,0.34
aran015,18,0.32
aran015,19,0.285
aran015,20,0.22
aran016,1,0.56
aran016,2,0.6
aran016,3,0.59
aran016,4,0.47
aran016,5,0.42
aran016,6,0.465
aran016,7,0.72
aran016,8,0.56
aran016,9,0.65
aran016,10,0.54
aran016,11,0.42
aran016,12,0.63
aran016,13,0.44
aran017,1,0.77
aran017,2,0.58
aran017,3,0.53
aran017,4,1.02
aran017,5,0.56
aran017,6,0.54
aran017,7,0.4
aran017,8,0.48
aran017,9,0.73
aran018,1,0.325
aran018,2,0.72
aran018,3,0.335
aran018,4,0.225
aran018,5,0.305
aran018,6,0.57
aran018,7,0.66
aran018,8,0.365
aran019,1,0.445
aran019,2,0.335
aran019,3,0.61
aran019,4,0.6
aran019,5,0.39
aran019,6,0.385
aran019,7,0.61
aran019,8,0.36
aran019,9,0.61
aran019,10,0.38
aran019,11,0.54
aran019,12,0.23
aran019,13,0.355
aran019,14,0.375
aran019,15,0.6
aran019,16,0.445
aran019,17,0.485
aran019,18,0.53
aran019,19,0.475
aran019,20,0.275
aran020,1,0.325
aran020,2,0.33
aran020,3,0.28
aran020,4,0.325
aran020,5,0.335
aran020,6,0.265
aran020,7,0.285
aran020,8,0.225
aran020,9,0.22
aran020,10,0.355
aran020,11,0.235
aran020,12,0.28
aran020,13,0.23
aran021,1,0.225
aran021,2,0.65
aran021,3,0.34
aran021,4,0.56
aran021,5,0.37
aran021,6,0.4
aran021,7,0.33
aran021,8,0.54
aran021,9,0.43
aran021,10,0.34
aran021,11,0.435
aran021,12,0.37
aran021,13,0.35
aran021,14,0.79
aran021,15,0.7
aran021,16,0.37
aran021,17,0.395
aran021,18,0.5
aran021,19,0.44
aran021,20,0.425
aran022,1,0.62
aran022,2,0.445
aran022,3,0.32
aran022,4,0.455
aran022,5,0.345
aran022,6,0.325
aran022,7,0.405
aran022,8,0.3
aran022,9,0.245
aran022,10,0.415
aran022,11,0.24
aran022,12,0.295
aran022,13,0.445
aran022,14,0.56
aran022,15,0.59
aran022,16,0.46
aran022,17,0.42
aran022,18,0.4
aran022,19,0.335
aran022,20,0.19
aran023,1,0.23
aran023,2,0.375
aran023,3,0.17
aran023,4,0.3
aran023,5,0.24
aran023,6,0.245
aran023,7,0.275
aran023,8,0.275
aran023,9,0.245
aran023,10,0.255
aran024,1,0.295
aran024,2,0.325
aran024,3,0.72
aran024,4,0.485
aran024,5,0.34
aran024,6,0.4
aran024,7,0.46
aran024,8,0.58
aran024,9,0.42
aran024,10,0.315
aran024,11,0.6
aran024,12,0.63
aran024,13,0.355
aran024,14,0.39
aran024,15,0.355
aran024,16,0.56
aran024,17,0.395
aran024,18,0.63
aran024,19,0.55
aran024,20,0.59
aran025,1,0.63
aran025,2,0.76
aran025,3,0.81
aran025,4,0.59
aran025,5,0.98
aran025,6,0.75
aran025,7,0.51
aran025,8,0.43
aran025,9,0.39
aran025,10,0.61
aran025,11,0.91
aran025,12,0.63
aran025,13,0.88
aran025,14,0.58
aran025,15,0.78
aran025,16,0.5
aran025,17,0.42
aran025,18,0.67
aran025,19,0.92
aran025,20,0.76
aran026,1,0.37
aran026,2,0.475
aran027,1,0.34
aran028,1,0.295
aran028,2,0.225
aran028,3,0.245
aran029,1,0.355
aran029,2,0.475
aran029,3,0.375
aran029,4,0.66
aran029,5,0.55
aran029,6,0.61
aran030,1,3
aran030,2,4
aran031,1,0.69
aran031,2,0.64
aran031,3,0.73
aran031,4,0.81
aran031,5,0.82
aran031,6,0.68
aran031,7,0.72
aran032,1,0.54
aran032,2,0.185
aran032,3,0.405
aran032,4,0.41
aran032,5,0.335
aran032,6,0.465
aran032,7,0.465
aran032,8,0.415
aran032,9,0.44
aran032,10,0.48
aran032,11,0.42
aran032,12,0.425
aran032,13,0.5
aran032,14,0.54
aran032,15,0.46
aran032,16,0.455
aran032,17,0.32
aran032,18,0.46
aran032,19,0.38
aran032,20,0.465
aran033,1,0.88
aran032,2,0.54
aran032,3,0.96
aran032,4,0.64
aran032,5,1.3
aran032,6,0.84
aran032,7,1
aran034,1,0.53
aran034,2,0.64
aran034,3,0.65
aran034,4,0.71
aran034,5,0.58
aran034,6,0.73
aran034,7,0.45
aran034,8,0.26
aran034,9,0.22
aran034,10,0.82
aran034,11,0.72
aran034,12,0.73
aran034,13,0.59
aran034,14,0.44
aran034,15,0.71
aran034,16,0.68
aran034,17,0.5
aran034,18,0.6
aran034,19,0.57
aran034,20,0.52
aran035,1,0.62
aran035,2,0.7
aran035,3,0.47
aran035,4,0.69
aran035,5,0.85
aran035,6,0.62
aran035,7,0.85
aran035,8,0.79
aran035,9,0.455
aran035,10,0.58
aran035,11,0.56
aran035,12,0.78
aran035,13,0.365
aran035,14,0.46
aran035,15,0.49
aran035,16,0.35
aran035,17,0.56
aran036,1,0.255
aran036,2,0.47
aran036,3,0.495
aran036,4,0.275
aran036,5,0.62
aran036,6,0.325
aran036,7,0.46
aran036,8,0.345
aran036,9,0.34
aran036,10,0.455
aran036,11,0.56
aran036,12,0.39
aran036,13,0.355
aran036,14,0.355
aran036,15,0.415
aran036,16,0.47
aran036,17,0.465
aran036,18,0.31
aran036,19,0.375
aran036,20,0.42
aran037,1,0.62
aran037,2,0.33
aran037,3,0.245
aran037,4,0.57
aran037,5,0.42
aran037,6,0.27
aran037,7,0.355
aran037,8,0.475
aran037,9,0.42
aran037,10,0.325
aran037,11,0.33
aran037,12,0.85
aran037,13,0.305
aran037,14,0.13
aran037,15,0.345
aran037,16,0.355
aran037,17,0.345
aran037,18,0.37
aran037,19,0.62
aran037,20,0.6
aran038,1,0.43
aran038,2,0.64
aran038,3,0.62
aran038,4,0.385
aran038,5,0.48
aran038,6,0.485
aran038,7,0.59
aran038,8,0.7
aran038,9,0.425
aran038,10,0.42
aran038,11,0.56
aran038,12,0.53
aran038,13,0.46
aran038,14,0.65
aran038,15,0.61
aran038,16,0.43
aran038,17,0.55
aran038,18,0.465
aran038,19,0.67
aran038,20,0.58
aran039,1,0.365
aran039,2,0.74
aran039,3,0.82
aran039,4,0.39
aran039,5,0.435
aran039,6,0.39
aran039,7,1.1
aran039,8,0.38
aran039,9,0.385
aran039,10,0.385
aran039,11,0.39
aran039,12,0.415
aran039,13,0.395
aran039,14,0.355
aran039,15,0.4
aran039,16,0.445
aran039,17,0.375
aran039,18,0.25
aran039,19,0.35
aran039,20,0.31
aran040,1,0.455
aran040,2,1.1
aran040,3,0.5
aran040,4,0.62
aran040,5,0.59
aran040,6,0.65
aran040,7,0.56
aran040,8,0.5
aran040,9,0.5
aran040,10,0.65
aran040,11,0.67
aran040,12,0.475
aran040,13,0.72
aran040,14,0.89
aran040,15,0.63
aran040,16,0.55
aran040,17,0.7
aran040,18,0.79
aran040,19,0.86
aran040,20,0.475
aran041,1,0.61
aran041,2,0.41
aran041,3,0.45
aran041,4,0.5
aran041,5,0.97
aran041,6,0.56
aran041,7,0.485
aran041,8,0.56
aran041,9,0.5
aran041,10,0.31
aran041,11,0.47
aran041,12,0.335
aran041,13,0.395
