morph,nospec,r_cm_size
hemi008,14,0.27
hemi008,15,0.28
hemi008,16,0.37
hemi008,17,0.26
hemi008,18,0.345
hemi008,19,0.36
hemi008,20,0.355
hemi009,1,0.375
hemi009,2,0.27
hemi009,3,0.325
hemi009,4,0.305
hemi009,5,0.305
hemi009,6,0.31
hemi009,7,0.485
hemi009,8,0.29
hemi009,9,0.245
hemi009,10,0.54
hemi009,11,0.38
hemi009,12,0.285
hemi009,13,0.32
hemi009,14,0.345
hemi009,15,0.29
hemi009,16,0.355
hemi009,17,0.365
hemi009,18,0.175
hemi009,19,0.265
hemi009,20,0.505
hemi010,1,0.43
hemi010,2,0.435
hemi010,3,0.36
hemi010,4,0.38
hemi010,5,0.395
hemi010,6,0.41
hemi010,7,0.385
hemi010,8,0.38
hemi010,9,0.43
hemi010,10,0.49
hemi010,11,0.375
hemi010,12,0.475
hemi010,13,0.36
hemi010,14,0.405
hemi010,15,0.36
hemi010,16,0.48
hemi010,17,0.58
hemi010,18,0.47
hemi010,19,0.475
hemi010,20,0.385
hemi011,1,0.57
hemi011,2,0.69
hemi011,3,0.73
hemi011,4,0.66
hemi011,5,0.69
hemi011,6,0.71
hemi011,7,0.72
hemi011,8,0.71
hemi011,9,0.72
hemi011,10,0.74
hemi011,11,0.71
hemi011,12,0.73
hemi011,13,0.73
hemi011,14,0.72
hemi011,15,0.72
hemi011,16,0.72
hemi011,17,0.7
hemi011,18,0.74
hemi011,19,0.71
hemi011,20,0.68
hemi012,1,0.62
hemi012,2,0.6
hemi012,3,0.63
hemi012,4,0.62
hemi012,5,0.65
hemi012,6,0.64
hemi012,7,0.66
hemi012,8,0.66
hemi012,9,0.65
hemi012,10,0.63
hemi012,11,0.63
hemi012,12,0.66
hemi012,13,0.6
hemi012,14,0.65
hemi012,15,0.63
hemi012,16,0.61
hemi012,17,0.59
hemi012,18,0.61
hemi012,19,0.64
hemi012,20,0.65
hemi013,1,1.1
hemi013,2,1.1
hemi013,3,1.1
hemi014,1,0.83
hemi014,2,0.85
hemi014,3,0.89
hemi014,4,0.84
hemi014,5,0.89
hemi014,6,0.87
hemi014,7,0.91
hemi014,8,0.83
hemi014,9,0.75
hemi014,10,0.71
hemi014,11,0.9
hemi014,12,0.77
hemi014,13,0.74
hemi014,14,0.86
hemi014,15,0.89
hemi014,16,0.69
hemi014,17,0.83
hemi014,18,0.9
hemi014,19,0.75
hemi014,20,0.83
hemi015,1,1.3
hemi016,1,0.52
hemi016,2,0.465
hemi016,3,0.56
hemi016,4,0.425
hemi016,5,0.54
hemi016,6,0.51
hemi016,7,0.47
hemi016,8,0.53
hemi016,9,0.53
hemi017,1,0.59
hemi017,2,0.62
hemi017,3,0.56
hemi017,4,0.69
hemi017,5,0.59
hemi017,6,0.69
hemi017,7,0.63
hemi017,8,0.68
hemi017,9,0.72
hemi017,10,0.71
hemi017,11,0.47
hemi017,12,0.39
hemi017,13,0.66
hemi017,14,0.48
hemi017,15,0.56
hemi017,16,0.67
hemi017,17,0.71
hemi017,18,0.52
hemi017,19,0.7
hemi017,20,0.7
hemi018,1,0.67
hemi018,2,0.82
hemi018,3,0.67
hemi018,4,0.65
hemi018,5,0.6
hemi018,6,0.77
hemi018,7,0.84
hemi018,8,0.63
hemi018,9,0.89
hemi018,10,0.66
hemi018,11,0.88
hemi018,12,0.85
hemi018,13,0.86
hemi018,14,0.87
hemi018,15,0.85
hemi018,16,0.66
hemi018,17,0.67
hemi018,18,0.66
hemi018,19,0.66
hemi018,20,0.66
hemi019,1,0.8
hemi019,2,0.83
hemi019,3,0.76
hemi019,4,1
hemi019,5,0.88
hemi019,6,0.82
hemi019,7,0.99
hemi019,8,0.97
hemi019,9,1
hemi019,10,0.76
hemi020,1,1.8
hemi020,2,1.8
hemi020,3,1.8
hemi020,4,1.8
hemi020,5,1.2
hemi020,6,2.2
hemi020,7,1.6
hemi020,8,1.6
hemi020,9,1.7
hemi021,1,2.5
hemi021,2,2.4
hemi021,3,2.1
hemi021,4,2
hemi021,5,2.1
hemi021,6,2.5
hemi021,7,2.3
hemi021,8,2.2
hemi021,9,2.1
hemi021,10,1.7
hemi021,11,2.2
hemi021,12,2.3
hemi022,1,0.335
hemi023,1,0.57
hemi023,2,0.57
hemi023,3,0.6
hemi023,4,0.48
hemi023,5,0.53
hemi023,6,0.46
hemi023,7,0.54
hemi023,8,0.62
hemi023,9,0.385
hemi023,10,0.52
hemi023,11,0.66
hemi023,12,0.6
hemi023,13,0.65
hemi023,14,0.67
hemi023,15,0.63
hemi023,16,0.56
hemi023,17,0.6
hemi023,18,0.51
hemi023,19,0.65
hemi024,1,1.4
hemi025,1,1.4
hemi025,2,1.5
hemi025,3,1.5
hemi025,4,1.4
hemi025,5,1.4
hemi025,6,1.4
hemi025,7,1.5
hemi025,8,1.4
hemi025,9,1.4
hemi025,10,1.5
hemi025,11,1.3
hemi025,12,1.3
hemi025,13,1.5
hemi025,14,1.5
hemi025,15,1.4
hemi025,16,1.5
hemi025,17,1.4
hemi026,1,0.5
hemi026,2,0.75
hemi026,3,0.94
hemi026,4,0.73
hemi027,1,0.275
hemi027,2,0.28
hemi028,1,0.83
hemi028,2,0.95
hemi028,3,0.95
hemi028,4,1.3
hemi028,5,1.02
hemi028,6,0.99
hemi028,7,1.1
hemi028,8,0.98
hemi028,9,1.2
hemi028,10,1.1
hemi028,11,1.4
hemi028,12,0.99
hemi028,13,1
hemi028,14,0.67
hemi028,15,0.76
hemi028,16,0.86
hemi028,17,0.8
hemi028,18,1
hemi028,19,0.93
hemi028,20,1
hemi029,1,1.6
hemi030,1,0.88
hemi030,2,0.8
hemi030,3,1.1
hemi030,4,0.95
hemi030,5,1.2
hemi030,6,0.85
hemi030,7,0.89
hemi030,8,1.2
hemi030,9,0.99
hemi030,10,1.2
hemi030,11,1.1
hemi031,1,0.61
hemi031,2,0.69
hemi031,3,0.62
hemi031,4,0.66
hemi031,5,0.65
hemi031,6,0.65
hemi031,7,0.6
hemi031,8,0.63
hemi031,9,0.63
hemi031,10,0.6
hemi031,11,0.62
hemi031,12,0.61
hemi031,13,0.61
hemi031,14,0.64
hemi031,15,0.92
hemi031,16,0.64
hemi032,1,1.3
hemi032,2,1.4
hemi033,1,1.6
hemi034,1,0.42
hemi034,2,0.58
hemi034,3,0.405
hemi034,4,0.63
hemi035,1,0.84
hemi035,2,0.78
hemi035,3,0.84
hemi035,4,0.85
hemi035,5,0.7
hemi035,6,0.75
hemi035,7,0.73
hemi035,8,0.76
hemi035,9,0.65
hemi035,10,0.66
hemi035,11,0.79
hemi035,12,0.88
hemi035,13,0.75
hemi035,14,0.7
hemi036,1,0.53
hemi036,2,0.73
hemi036,3,0.59
hemi036,4,0.58
hemi036,5,0.91
hemi036,6,0.64
hemi037,1,1.7
hemi037,2,1.6
hemi037,3,1.6
hemi037,4,1.5
hemi037,5,1.6
hemi037,6,1.7
hemi038,1,0.6
hemi038,2,0.58
hemi038,3,0.54
hemi038,4,0.51
hemi038,5,0.59
hemi038,6,0.72
hemi038,7,0.52
hemi038,8,0.52
hemi039,1,0.34
hemi039,2,0.315
hemi039,3,0.48
hemi039,4,0.495
hemi039,5,0.36
hemi039,6,0.475
hemi039,7,0.475
hemi039,8,0.38
hemi039,9,0.325
hemi039,10,0.38
hemi039,11,0.355
hemi039,12,0.34
hemi039,13,0.62
hemi039,14,0.37
hemi039,15,0.385
hemi039,16,0.345
hemi039,17,0.365
hemi039,18,0.345
hemi039,19,0.495
hemi039,20,0.56
hemi040,1,1.5
hemi041,1,0.94
hemi042,1,0.82
hemi043,1,0.63
hemi043,2,0.75
hemi044,1,0.97
hemi044,2,0.96
hemi044,3,0.79
hemi044,4,0.91
hemi044,5,0.92
hemi044,6,0.97
hemi045,1,1.4
hemi045,2,0.53
hemi045,3,0.64
hemi045,4,1.3
hemi045,5,1.4
hemi045,6,1.3
hemi045,7,1.4
hemi045,8,1.4
hemi045,9,1.4
hemi045,10,1.3
hemi045,11,1.4
hemi045,12,1.4
hemi045,13,1.3
hemi045,14,1.1
hemi046,1,0.7
hemi047,1,2.1
hemi047,2,2.1
hemi047,3,2.1
hemi047,4,2.1
hemi047,5,2
hemi047,6,2
hemi047,7,2
hemi047,8,2.1
hemi047,9,2
hemi047,10,2.1
hemi047,11,2
hemi048,1,1.9
hemi048,2,1.7
hemi049,1,0.73
hemi049,2,0.61
hemi050,1,1.4
hemi051,1,2.1
hemi051,2,2.1
hemi051,3,2.1
hemi051,4,2
hemi052,1,0.74
hemi053,1,0.7
hemi054,1,2
hemi055,1,1.7
hemi055,2,1.4
hemi055,3,1.4
hemi055,4,1.4
hemi055,5,1.5
hemi055,6,1.4
hemi055,7,1.6
hemi055,8,1.4
hemi055,9,1.5
hemi056,1,2.3
hemi057,1,0.55
hemi058,1,0.92
hemi059,1,0.45
hemi059,2,0.335
hemi059,3,0.46
hemi059,4,0.495
hemi059,5,0.465
hemi059,6,0.475
hemi059,7,0.475
hemi059,8,0.46
hemi059,9,0.48
hemi059,10,0.43
hemi059,11,0.46
hemi060,1,2.5
hemi060,2,2.1
hemi061,1,0.76
hemi061,2,0.94
hemi061,3,0.72
hemi061,4,0.76
hemi061,5,0.82
hemi061,6,0.98
hemi061,7,0.79
hemi061,8,1.02
hemi061,9,0.52
hemi061,10,0.68
hemi061,11,0.49
hemi061,12,0.53
hemi061,13,1.2
hemi061,14,0.79
hemi062,1,1.1
hemi062,2,1.2
hemi063,1,0.92
hemi063,2,0.88
hemi064,1,0.4
hemi065,1,1.4
hemi066,1,1.8
hemi066,2,1.9
hemi067,1,1.5
hemi068,1,1.02
hemi068,2,0.93
hemi069,1,1.03
hemi070,1,0.85
hemi071,1,0.85
hemi072,1,1.1
hemi072,2,1.1
hemi072,3,1.2
hemi072,4,1.2
hemi073,1,0.405
hemi073,2,0.44
hemi074,1,1.5
hemi075,1,1.5
hemi076,1,1.6
hemi076,2,1.6
hemi076,3,1.5
hemi077,1,0.96
hemi077,2,0.98
hemi077,3,0.99
hemi078,1,0.8
hemi078,2,0.92
hemi078,3,0.82
hemi078,4,0.74
hemi078,5,0.84
hemi079,1,2.3
hemi079,2,1.9
hemi080,1,1.7
hemi081,1,0.45
hemi081,2,0.47
hemi081,3,0.59
hemi081,4,0.55
hemi081,5,0.52
hemi081,6,0.59
hemi081,7,0.445
hemi081,8,0.49
hemi081,9,0.43
hemi081,10,0.495
hemi081,11,0.54
hemi081,12,0.44
hemi081,13,0.53
hemi081,14,0.51
hemi081,15,0.58
hemi081,16,0.64
hemi081,17,0.42
hemi081,18,0.395
hemi081,19,0.325
hemi081,20,0.28
hemi082,1,0.38
hemi082,2,0.28
hemi083,1,0.74
hemi083,2,0.52
hemi083,3,0.75
hemi083,4,0.57
hemi084,1,0.465
hemi085,1,1.4
hemi086,1,1.4
hemi086,2,1.1
hemi086,3,0.95
hemi087,1,0.69
hemi087,2,0.67
hemi088,1,1.7
hemi089,1,0.94
hemi090,1,0.95
hemi091,1,0.455
hemi092,1,0.68
hemi092,2,0.73
hemi093,1,0.46
hemi094,1,0.42
hemi094,2,0.465
hemi094,3,0.455
hemi094,4,0.5
hemi094,5,0.495
hemi094,6,0.48
hemi094,7,0.47
hemi094,8,0.465
hemi094,9,0.44
hemi094,10,0.425
hemi094,11,0.48
hemi094,12,0.46
hemi094,13,0.465
hemi094,14,0.44
hemi094,15,0.485
hemi094,16,0.46
hemi094,17,0.42
hemi094,18,0.485
hemi094,19,0.49
hemi094,20,0.445
homo001,1,0.63
homo001,2,0.53
homo001,3,0.83
homo001,4,0.73
homo001,5,0.76
homo001,6,0.74
homo001,7,0.65
homo001,8,0.76
homo001,9,0.67
homo001,10,0.7
homo001,11,0.55
homo001,12,0.59
homo001,13,0.74
homo001,14,0.7
homo001,15,0.77
homo001,16,0.55
homo001,17,0.72
homo001,18,0.71
homo001,19,0.51
homo001,20,0.74
homo002,1,0.59
homo002,2,0.59
homo002,3,0.6
homo002,4,0.58
homo002,5,0.56
homo002,6,0.58
homo002,7,0.61
homo002,8,0.54
homo002,9,0.58
homo002,10,0.55
homo002,11,0.61
homo002,12,0.54
homo002,13,0.57
homo002,14,0.66
homo002,15,0.6
homo002,16,0.55
homo002,17,0.65
homo002,18,0.59
homo002,19,0.52
homo002,20,0.63
homo003,1,0.53
homo003,2,0.5
homo003,3,0.48
homo003,4,0.425
homo003,5,0.54
homo003,6,0.51
homo003,7,0.54
homo003,8,0.56
homo003,9,0.49
homo003,10,0.5
homo003,11,0.42
homo003,12,0.435
homo003,13,0.41
homo003,14,0.48
homo003,15,0.55
homo003,16,0.55
homo003,17,0.53
homo003,18,0.54
homo003,19,0.455
homo003,20,0.49
homo004,1,0.76
homo004,2,0.76
homo004,3,0.7
homo004,4,0.85
homo004,5,0.69
homo004,6,0.72
homo004,7,0.69
homo004,8,0.74
homo004,9,0.82
homo004,10,0.81
homo004,11,0.79
homo004,12,0.76
homo004,13,0.73
homo004,14,0.71
homo004,15,0.91
homo004,16,0.7
homo004,17,0.71
homo004,18,0.72
homo004,19,0.81
homo004,20,0.73
homo005,1,0.58
homo005,2,0.75
homo005,3,0.74
homo005,4,0.76
homo005,5,0.67
homo005,6,0.75
homo005,7,0.64
homo005,8,0.76
homo005,9,0.61
homo005,10,0.52
homo005,11,0.78
homo005,12,0.76
homo005,13,0.76
homo005,14,0.57
homo005,15,0.71
homo005,16,0.59
homo005,17,0.77
homo005,18,0.78
homo005,19,0.64
homo005,20,0.7
homo006,1,0.49
homo006,2,0.54
homo006,3,0.52
homo006,4,0.51
homo006,5,0.52
homo006,6,0.54
homo006,7,0.52
homo006,8,0.59
homo006,9,0.53
homo006,10,0.53
homo006,11,0.52
homo006,12,0.51
homo006,13,0.52
homo006,14,0.54
homo006,15,0.6
homo006,16,0.46
homo006,17,0.54
homo006,18,0.52
homo006,19,0.55
homo006,20,0.5
homo007,1,0.63
homo007,2,0.56
homo007,3,0.59
homo007,4,0.6
homo008,1,0.99
homo008,2,0.97
homo008,3,0.92
homo008,4,0.92
homo008,5,1.1
homo008,6,0.95
homo008,7,1.2
homo008,8,0.64
homo008,9,0.86
homo008,10,1
homo008,11,1.1
homo008,12,1.2
homo008,13,0.91
homo008,14,0.91
homo008,15,0.76
homo008,16,1.1
homo008,17,0.87
homo008,18,0.88
homo008,19,0.91
homo008,20,0.96
homo009,1,0.56
homo009,2,0.54
homo009,3,0.7
homo009,4,0.65
homo009,5,0.7
homo009,6,0.71
homo009,7,0.66
homo009,8,0.65
homo009,9,0.62
homo009,10,0.6
homo009,11,0.67
homo009,12,0.65
homo009,13,0.75
homo009,14,0.6
homo009,15,0.55
homo009,16,0.58
homo009,17,0.54
homo009,18,0.61
homo009,19,0.69
homo009,20,0.57
homo010,1,0.64
homo010,2,0.64
homo011,1,0.53
homo011,2,0.51
homo011,3,0.49
homo011,4,0.6
homo011,5,0.4
homo011,6,0.485
homo011,7,0.6
homo011,8,0.41
homo011,9,0.5
homo011,10,0.445
homo011,11,0.55
homo011,12,0.48
homo011,13,0.475
homo011,14,0.465
homo011,15,0.59
homo011,16,0.6
homo011,17,0.61
homo011,18,0.67
homo011,19,0.56
homo011,20,0.53
homo012,1,0.88
homo012,2,0.92
homo012,3,0.48
homo012,4,0.84
homo012,5,0.9
homo012,6,0.82
homo012,7,0.87
homo012,8,0.82
homo012,9,0.54
homo012,10,0.89
homo012,11,0.86
homo012,12,0.75
homo012,13,0.8
homo012,14,0.86
homo012,15,0.89
homo012,16,0.82
homo012,17,0.89
homo012,18,0.71
homo012,19,0.88
homo012,20,0.78
homo013,1,0.73
homo013,2,0.7
homo013,3,0.7
homo013,4,0.72
homo013,5,0.67
homo013,6,0.74
homo013,7,0.8
homo013,8,0.64
homo013,9,0.71
homo013,10,0.75
homo014,1,0.78
homo014,2,0.81
homo015,1,0.99
homo016,1,0.69
homo016,2,0.69
homo016,3,0.68
homo016,4,0.6
homo016,5,0.73
homo016,6,0.71
homo016,7,0.71
homo016,8,0.52
homo016,9,0.8
homo016,10,0.63
homo016,11,0.67
homo016,12,0.76
homo016,13,0.8
homo016,14,0.66
homo017,1,0.6
homo017,2,0.77
homo017,3,0.77
homo018,1,0.57
homo018,2,0.54
homo019,1,0.71
homo019,2,0.8
homo020,1,0.82
homo020,2,0.76
homo021,1,0.51
homo021,2,0.5
homo021,3,0.455
homo021,4,0.54
homo021,5,0.52
homo021,6,0.5
homo021,7,0.46
homo021,8,0.47
homo021,9,0.475
homo021,10,0.52
homo021,11,0.52
homo021,12,0.49
homo021,13,0.49
homo021,14,0.6
homo021,15,0.47
homo021,16,0.485
homo022,1,0.61
homo023,1,0.48
homo023,2,0.56
homo024,1,0.39
homo025,1,0.6
lepi001,1,0.42
lepi001,2,0.55
lepi002,1,0.57
lepi002,2,0.67
lepi003,1,0.98
lepi003,2,1.5
lepi003,3,1.04
lepi003,4,1.66
lepi004,1,1.26
lepi004,2,1
lepi004,3,0.98
lepi004,4,0.74
lepi004,5,1.36
lepi004,6,1.58
lepi004,7,1.6
lepi004,8,1
lepi004,9,0.84
lepi004,10,0.55
lepi004,11,0.43
lepi004,12,0.7
lepi004,13,0.95
lepi004,14,0.96
lepi004,15,1.1
lepi004,16,0.68
lepi004,17,0.72
lepi004,18,0.57
lepi004,19,0.86
lepi004,20,0.59
lepi005,1,1.9
lepi005,2,0.74
lepi005,3,1
lepi005,4,0.5
lepi005,5,2
lepi005,6,2.1
lepi005,7,1.96
lepi005,8,1.54
lepi005,9,1.64
lepi005,10,2.1
lepi005,11,1.9
lepi005,12,1.7
lepi005,13,0.9
lepi005,14,2.1
lepi005,15,1.3
lepi005,16,1.3
lepi005,17,1.78
lepi005,18,1.18
lepi005,19,1.22
lepi005,20,0.85
lepi006,1,4.2
lepi006,2,1.44
lepi007,1,1.52
lepi007,2,1.8
lepi007,3,1.04
lepi007,4,1.2
lepi007,5,1.36
lepi007,6,0.9
lepi007,7,1.16
lepi007,8,1.16
lepi007,9,1.08
lepi007,10,1.12
lepi007,11,1.5
lepi007,12,0.82
lepi007,13,1.36
lepi007,14,1.14
lepi007,15,1.78
lepi007,16,1.82
lepi007,17,2.02
lepi007,18,1.76
lepi007,19,1.5
lepi007,20,1.52
lepi008,1,1.38
lepi008,2,1.2
lepi008,3,0.75
lepi008,4,0.7
lepi008,5,0.83
lepi008,6,0.6
lepi008,7,1.12
lepi008,8,1.5
lepi008,9,1.56
lepi008,10,1.22
lepi008,11,1.92
lepi008,12,1.66
lepi008,13,2.1
lepi008,14,1.58
lepi008,15,1.56
lepi008,16,0.66
lepi008,17,0.81
lepi008,18,0.79
lepi008,19,1.05
lepi008,20,0.85
lepi009,1,3.6
lepi009,2,3
lepi009,3,2.2
lepi009,4,2.3
lepi009,5,1.7
lepi009,6,2.2
lepi009,7,2.4
lepi009,8,1.5
lepi009,9,2.4
lepi009,10,2.2
lepi009,11,1.5
lepi009,12,2.3
lepi009,13,2.5
lepi009,14,2.2
lepi009,15,2.1
lepi009,16,1.5
lepi009,17,1.4
lepi009,18,1.8
lepi009,19,2.6
lepi009,20,1.9
lepi010,1,1.8
lepi010,2,1.08
lepi010,3,1.5
lepi010,4,1.78
lepi010,5,1.44
lepi010,6,1.2
lepi010,7,1.34
lepi010,8,2.1
lepi010,9,1
lepi010,10,1
lepi010,11,0.9
lepi010,12,2.1
lepi010,13,1.8
lepi010,14,1.16
lepi010,15,1.7
lepi010,16,1.7
lepi010,17,1.3
lepi010,18,1.1
lepi010,19,1.66
lepi011,1,2.5
lepi011,2,2
lepi011,3,1.9
lepi011,4,2.1
lepi011,5,1.66
lepi011,6,1.84
lepi011,7,2.2
lepi011,8,0.75
lepi011,9,0.8
lepi011,10,1.74
lepi011,11,0.62
lepi011,12,0.84
lepi011,13,1.9
lepi011,14,1.22
lepi011,15,0.9
lepi011,16,1.1
lepi011,17,1.48
lepi011,18,0.82
lepi011,19,0.64
lepi011,20,1.12
lepi012,1,1.56
lepi012,2,2.1
lepi012,3,3.9
lepi012,4,1.9
lepi014,1,1.78
lepi014,2,1.44
lepi014,3,1.62
lepi015,1,2.3
lepi015,2,2.5
lepi015,3,3.55
lepi015,4,2.25
lepi016,1,1.4
lepi016,2,2.15
lepi016,3,1.04
lepi016,4,2.4
lepi016,5,2.2
lepi016,6,2.8
lepi016,7,2.2
lepi016,8,3.2
lepi016,9,1.5
lepi016,10,2.7
lepi016,11,2.3
lepi016,12,3.2
lepi016,13,2.3
lepi016,14,2.4
lepi016,15,2.3
lepi016,16,3.8
lepi016,17,1.56
lepi016,18,2.7
lepi016,19,3.1
lepi016,20,1.26
lepi017,1,1.04
lepi019,1,0.95
lepi019,2,0.58
lepi019,3,0.75
lepi019,4,0.8
lepi019,5,0.75
lepi019,6,0.88
lepi019,7,0.88
lepi019,8,1
lepi019,9,0.57
lepi019,10,0.65
lepi019,11,0.55
lepi019,12,0.4
lepi019,13,0.43
lepi019,14,1.16
lepi019,15,1.24
lepi019,16,1.1
lepi019,17,1.34
lepi019,18,1.14
lepi019,19,1.06
lepi019,20,1.16
lepi020,1,0.66
lepi020,2,0.94
lepi020,3,1
lepi020,4,3.1
lepi020,5,3.4
lepi020,6,1.16
lepi020,7,2.3
lepi020,8,2.1
lepi020,9,0.76
lepi020,10,1
lepi021,1,1.24
lepi021,2,1.06
lepi021,3,1.14
lepi021,4,1.2
lepi021,5,1.3
lepi021,6,1.32
lepi021,7,1.16
lepi021,8,1.16
lepi021,9,1.14
lepi021,10,0.98
lepi021,11,1.1
lepi021,12,1.08
lepi021,13,1.14
lepi021,14,1.16
lepi021,15,0.82
lepi021,16,1.06
lepi021,17,1.1
lepi021,18,1.12
lepi021,19,1.16
lepi021,20,1.16
lepi022,1,0.9
lepi022,2,1
lepi022,3,1.26
lepi023,1,1.2
lepi023,2,1.02
lepi023,3,0.78
lepi023,4,1.2
lepi023,5,0.86
lepi023,6,0.88
lepi023,7,0.68
lepi023,8,1.04
lepi023,9,0.72
lepi023,10,0.6
lepi024,1,0.94
lepi024,2,0.86
lepi024,3,0.94
lepi024,4,0.72
lepi024,5,1
lepi024,6,0.86
lepi024,7,0.8
lepi024,8,0.74
lepi024,9,0.8
lepi024,10,0.82
lepi024,11,1.12
lepi025,1,0.52
lepi025,2,0.57
lepi025,3,0.5
lepi026,1,4.5
lepi027,1,1.68
lepi027,2,1.08
lepi027,3,1.62
lepi027,4,1.6
lepi027,5,1.68
lepi027,6,1.56
lepi027,7,0.64
lepi027,8,1.36
lepi027,9,1.18
lepi027,10,1.78
lepi027,11,0.96
lepi027,12,2.3
lepi027,13,1.7
lepi027,14,0.8
lepi027,15,1.38
lepi027,16,1.76
lepi027,17,1.9
lepi027,18,1.92
lepi027,19,2.2
lepi027,20,2.1
lepi028,1,3.3
lepi028,2,2.2
lepi028,3,2.1
lepi028,4,3.1
lepi028,5,2
lepi028,6,1.26
lepi028,7,1.48
lepi028,8,3.2
lepi028,9,2.25
lepi028,10,2.2
lepi028,11,2.5
lepi028,12,1.1
lepi028,13,1.8
lepi028,14,1.2
lepi029,1,1.82
lepi029,2,3.4
lepi029,3,1.6
lepi029,4,0.79
lepi029,5,0.81
lepi030,1,0.44
lepi030,2,0.6
lepi030,3,0.45
lepi030,4,0.54
lepi030,5,0.74
lepi030,6,0.7
lepi030,7,0.73
lepi030,8,0.85
lepi030,9,0.87
lepi030,10,0.8
lepi030,11,0.8
lepi031,1,1.1
lepi032,1,0.65
lepi032,2,0.93
lepi032,3,0.87
lepi032,4,0.64
lepi032,5,1.25
lepi032,6,0.9
lepi032,7,1.03
lepi032,8,0.82
lepi033,1,2.9
lepi034,1,1.3
lepi034,2,1.2
lepi034,3,1.3
lepi035,1,3.1
lepi035,2,2.1
lepi036,1,0.73
lepi036,2,0.8
lepi036,3,0.88
lepi036,4,0.82
lepi036,5,0.82
lepi036,6,0.84
lepi036,7,0.86
lepi036,8,0.78
lepi036,9,0.86
lepi036,10,1.12
lepi037,1,1.3
lepi037,2,0.66
lepi037,3,0.88
lepi037,4,0.94
lepi037,5,1.08
lepi037,6,0.82
lepi037,7,1.2
lepi037,8,1.22
lepi037,9,1.18
lepi037,10,1
lepi037,11,1.08
lepi037,12,0.52
lepi037,13,1.58
lepi037,14,1.26
lepi037,15,1.16
lepi037,16,1.14
lepi037,17,0.86
lepi037,18,1.26
lepi037,19,0.92
lepi037,20,0.76
lepi038,1,2.5
lepi038,2,1.96
lepi038,3,2.6
lepi038,4,2.8
lepi038,5,1.7
lepi039,1,2.5
lepi039,2,1.4
lepi039,3,1.22
lepi039,4,1.24
lepi039,5,0.86
lepi039,6,0.96
lepi039,7,1.1
lepi040,1,1.9
lepi040,2,0.78
lepi040,3,1.74
lepi040,4,2.02
lepi040,5,1.26
lepi040,6,1.76
lepi040,7,1.82
lepi040,8,1.08
lepi041,1,1.74
lepi041,2,1.9
lepi041,3,1.72
lepi041,4,1.46
lepi041,5,2.3
lepi041,6,1.44
lepi041,7,1.96
lepi041,8,1.54
lepi041,9,1.52
lepi041,10,1.98
lepi041,11,1.86
lepi041,12,1.24
lepi041,13,1.26
lepi041,14,2.4
lepi041,15,1.24
lepi041,16,1.3
lepi041,17,1.6
lepi041,18,2.7
lepi041,19,1.64
lepi041,20,1.92
lepi042,1,1.54
lepi042,2,1.5
lepi042,3,1.46
lepi042,4,1.56
lepi042,5,1.26
lepi042,6,1.58
lepi042,7,1.7
lepi042,8,1.28
lepi042,9,1.7
lepi042,10,1.86
lepi042,11,1.54
lepi042,12,1.2
lepi042,13,1.48
lepi042,14,2.06
lepi042,15,1.32
lepi042,16,1.52
lepi042,17,1.06
lepi042,18,1.2
lepi042,19,1.66
lepi042,20,0.88
lepi043,1,0.93
lepi043,2,1.03
lepi043,3,0.92
lepi043,4,0.95
lepi044,1,2.4
lepi044,2,1.34
lepi044,3,0.6
lepi044,4,2.33
lepi044,5,1.12
lepi045,1,0.78
lepi045,2,0.7
lepi045,3,0.88
lepi047,1,0.9
lepi047,2,1.46
lepi047,3,0.66
lepi048,1,0.36
lepi048,2,0.26
lepi049,1,1.2
lepi049,2,1.16
lepi049,3,1.84
lepi049,4,1.4
lepi049,5,1.64
lepi049,6,1.68
lepi049,7,1.56
lepi049,8,1.6
lepi049,9,1.08
lepi049,10,1.56
lepi049,11,2.3
lepi049,12,0.95
lepi049,13,1.3
lepi049,14,1.1
lepi049,15,1.6
lepi049,16,0.98
lepi049,17,2.1
lepi049,18,1.34
lepi049,19,0.88
lepi049,20,1.7
lepi050,1,2.2
lepi050,2,2.4
lepi050,3,3.55
lepi050,4,3.25
lepi050,5,2.2
lepi050,6,3.4
lepi050,7,1.7
lepi050,8,1.98
lepi050,9,3.75
lepi050,10,3.8
lepi050,11,1.68
lepi050,12,1.22
lepi050,13,4.7
lepi050,14,2.8
lepi050,15,1.46
lepi050,16,1.56
lepi050,17,1.36
lepi050,18,1.28
lepi051,1,1.82
lepi051,2,2
lepi051,3,1.3
lepi051,4,1.14
lepi051,5,1.7
lepi052,1,1.18
lepi052,2,0.64
lepi052,3,0.72
lepi052,4,0.96
lepi052,5,1.12
lepi052,6,1.16
lepi052,7,1.04
lepi052,8,0.76
lepi052,9,0.9
lepi052,10,0.96
lepi053,1,1.72
lepi054,1,1.44
lepi055,1,1.48
lepi055,2,1.44
lepi055,3,1.26
lepi056,1,1.5
lepi056,2,1.64
lepi056,3,1.04
lepi057,1,1.28
lepi058,1,0.96
lepi059,1,3.5
lepi059,2,2.1
lepi059,3,2.9
lepi060,1,2.45
lepi060,2,2.9
lepi060,3,2.6
lepi061,1,1.44
lepi061,2,1.44
lepi061,3,1.4
lepi061,4,1.42
lepi061,5,1.36
lepi061,6,1
lepi061,7,1.04
lepi061,8,1.16
lepi061,9,1.44
lepi061,10,1.42
