"morphotype" "no" "size" "scale" "scl" "notes" "NA" "nscl" "rsize"
"965" "aran071" 9 6.7 "1 cm" 1 "" "aran" 10 0.67
"966" "aran071" 10 5.3 "1 cm" 1 "" "aran" 10 0.53
"967" "aran071" 11 5.3 "1 cm" 1 "" "aran" 10 0.53
"968" "aran071" 12 7.6 "1 cm" 1 "" "aran" 10 0.76
"969" "aran071" 13 7.2 "" 0.5 "" "aran" 20 0.36
"970" "aran071" 14 1.1 "cm" 1 "" "aran" 1 1.1
"971" "aran071" 15 6.6 "1 cm" 1 "" "aran" 10 0.66
"972" "aran072" 1 9.2 "" 0.5 "" "aran" 20 0.46
"973" "aran072" 2 9.4 "" 0.5 "" "aran" 20 0.47
"974" "aran072" 3 5.3 "" 0.5 "" "aran" 20 0.265
"975" "aran072" 4 8.9 "" 0.5 "" "aran" 20 0.445
"976" "aran072" 5 7.4 "" 0.5 "" "aran" 20 0.37
"977" "aran072" 6 9 "" 0.5 "" "aran" 20 0.45
"978" "aran072" 7 8.9 "" 0.5 "" "aran" 20 0.445
"979" "aran072" 8 7 "" 0.5 "" "aran" 20 0.35
"980" "aran072" 9 5.9 "1 cm" 1 "" "aran" 10 0.59
"981" "aran072" 10 6 "" 0.5 "" "aran" 20 0.3
"982" "aran072" 11 6.9 "" 0.5 "" "aran" 20 0.345
"983" "aran072" 12 8.9 "" 0.5 "" "aran" 20 0.445
"984" "aran072" 13 5.3 "1 cm" 1 "" "aran" 10 0.53
"985" "aran072" 14 6.7 "" 0.5 "" "aran" 20 0.335
"986" "aran072" 15 6.6 "1 cm" 1 "" "aran" 10 0.66
"987" "aran072" 16 6.4 "1 cm" 1 "" "aran" 10 0.64
"988" "aran072" 17 7.1 "1 cm" 1 "" "aran" 10 0.71
"989" "aran072" 18 6.5 "1 cm" 1 "" "aran" 10 0.65
"990" "aran072" 19 8.3 "" 0.5 "" "aran" 20 0.415
"991" "aran072" 20 9.7 "" 0.5 "" "aran" 20 0.485
"992" "aran073" 1 8.3 "" 0.5 "" "aran" 20 0.415
"993" "aran073" 2 7.5 "" 0.5 "" "aran" 20 0.375
"994" "aran073" 3 8.5 "" 0.5 "" "aran" 20 0.425
"995" "aran073" 4 9.1 "" 0.5 "" "aran" 20 0.455
"996" "aran073" 5 5.1 "" 0.5 "" "aran" 20 0.255
"997" "aran073" 6 7.1 "1 cm" 1 "" "aran" 10 0.71
"998" "aran073" 7 5.2 "" 0.5 "" "aran" 20 0.26
"999" "aran073" 8 7.6 "" 0.5 "" "aran" 20 0.38
"1000" "aran073" 9 5.6 "" 0.5 "" "aran" 20 0.28
"1001" "aran073" 10 9.6 "" 0.5 "" "aran" 20 0.48
"1002" "aran073" 11 7.8 "" 0.5 "" "aran" 20 0.39
"1003" "aran073" 12 9.2 "" 0.5 "" "aran" 20 0.46
"1004" "aran073" 13 7.1 "" 0.5 "" "aran" 20 0.355
"1005" "aran073" 14 5.9 "" 0.5 "" "aran" 20 0.295
"1006" "aran073" 15 7.5 "" 0.5 "" "aran" 20 0.375
"1007" "aran073" 16 6.5 "1 cm" 1 "" "aran" 10 0.65
"1008" "aran073" 17 5.3 "1 cm" 1 "" "aran" 10 0.53
"1009" "aran073" 18 6.2 "" 0.5 "" "aran" 20 0.31
"1010" "aran073" 19 8.1 "" 0.5 "" "aran" 20 0.405
"1011" "aran073" 20 6 "1 cm" 1 "" "aran" 10 0.6
"1012" "aran074" 1 8.1 "" 0.5 "" "aran" 20 0.405
"1013" "aran074" 2 5.8 "" 0.5 "" "aran" 20 0.29
"1014" "aran074" 3 6.2 "" 0.5 "" "aran" 20 0.31
"1015" "aran074" 4 8.4 "" 0.5 "" "aran" 20 0.42
"1016" "aran074" 5 5.7 "" 0.5 "" "aran" 20 0.285
"1017" "aran074" 6 4.2 "" 0.5 "" "aran" 20 0.21
"1018" "aran074" 7 4.6 "" 0.5 "" "aran" 20 0.23
"1019" "aran074" 8 3.8 "" 0.5 "" "aran" 20 0.19
"1020" "aran074" 9 3.2 "" 0.5 "" "aran" 20 0.16
"1021" "aran075" 1 5.9 "" 0.5 "" "aran" 20 0.295
"1022" "aran075" 2 5.8 "" 0.5 "" "aran" 20 0.29
"1023" "aran075" 3 6.1 "" 0.5 "" "aran" 20 0.305
"1024" "aran075" 4 7.7 "" 0.5 "" "aran" 20 0.385
"1025" "aran075" 5 5.3 "" 0.5 "" "aran" 20 0.265
"1026" "aran075" 6 4.7 "" 0.5 "" "aran" 20 0.235
"1027" "aran076" 1 4.8 "" 0.5 "" "aran" 20 0.24
"1028" "aran076" 2 4.5 "" 0.5 "" "aran" 20 0.225
"1029" "aran077" 1 7.7 "1 cm" 1 "" "aran" 10 0.77
"1030" "aran077" 2 6.7 "1 cm" 1 "" "aran" 10 0.67
"1031" "aran077" 3 7.2 "" 0.5 "" "aran" 20 0.36
"1032" "aran077" 4 7.7 "" 0.5 "" "aran" 20 0.385
"1033" "aran077" 5 9.1 "1 cm" 1 "" "aran" 10 0.91
"1034" "aran077" 6 1.2 "cm" 1 "" "aran" 1 1.2
"1035" "aran077" 7 1.4 "cm" 1 "" "aran" 1 1.4
"1036" "aran077" 8 1.1 "cm" 1 "" "aran" 1 1.1
"1037" "aran077" 9 6.5 "" 0.5 "" "aran" 20 0.325
"1038" "aran077" 10 6.7 "1 cm" 1 "" "aran" 10 0.67
"1039" "aran077" 11 7.1 "" 0.5 "" "aran" 20 0.355
"1040" "aran077" 12 10.2 "1 cm" 1 "" "aran" 10 1.02
"1041" "aran077" 13 1.4 "cm" 1 "" "aran" 1 1.4
"1042" "aran077" 14 7.8 "1 cm" 1 "" "aran" 10 0.78
"1043" "aran077" 15 6.8 "" 0.5 "" "aran" 20 0.34
"1044" "aran077" 16 7.8 "" 0.5 "" "aran" 20 0.39
"1045" "aran077" 17 7.8 "" 0.5 "" "aran" 20 0.39
"1046" "aran077" 18 6.1 "" 0.5 "" "aran" 20 0.305
"1047" "aran077" 19 9.7 "" 0.5 "" "aran" 20 0.485
"1048" "aran077" 20 1.2 "cm" 1 "" "aran" 1 1.2
"1049" "aran078" 1 5.8 "1 cm" 1 "" "aran" 10 0.58
"1050" "aran078" 2 5.7 "1 cm" 1 "" "aran" 10 0.57
"1051" "aran078" 3 6.2 "1 cm" 1 "" "aran" 10 0.62
"1052" "aran078" 4 6.5 "1 cm" 1 "" "aran" 10 0.65
"1053" "aran078" 5 5.9 "1 cm" 1 "" "aran" 10 0.59
"1054" "aran078" 6 5.1 "1 cm" 1 "" "aran" 10 0.51
"1055" "aran078" 7 9.5 "" 0.5 "" "aran" 20 0.475
"1056" "aran078" 8 6 "1 cm" 1 "" "aran" 10 0.6
"1057" "aran078" 9 7.5 "1 cm" 1 "" "aran" 10 0.75
"1058" "aran078" 10 6.6 "1 cm" 1 "" "aran" 10 0.66
"1059" "aran079" 1 8.9 "" 0.5 "" "aran" 20 0.445
"1060" "aran079" 2 9.5 "" 0.5 "" "aran" 20 0.475
"1061" "aran079" 3 5.9 "" 0.5 "" "aran" 20 0.295
"1062" "aran079" 4 5.5 "1 cm" 1 "" "aran" 10 0.55
"1063" "aran079" 5 7 "" 0.5 "" "aran" 20 0.35
"1064" "aran079" 6 10 "" 0.5 "" "aran" 20 0.5
"1065" "aran079" 7 8.8 "" 0.5 "" "aran" 20 0.44
"1066" "aran079" 8 7.7 "1 cm" 1 "" "aran" 10 0.77
"1067" "aran080" 1 6.5 "" 0.5 "" "aran" 20 0.325
"1068" "aran080" 2 7.3 "" 0.5 "" "aran" 20 0.365
"1069" "aran080" 3 4.4 "" 0.5 "" "aran" 20 0.22
"1070" "aran080" 4 9.9 "" 0.5 "" "aran" 20 0.495
"1071" "aran081" 1 6.1 "1 cm" 1 "" "aran" 10 0.61
"1072" "aran081" 2 5.5 "1 cm" 1 "" "aran" 10 0.55
"1073" "aran082" 1 6 "" 0.5 "" "aran" 20 0.3
"1074" "aran082" 2 7.6 "" 0.5 "" "aran" 20 0.38
"1075" "aran082" 3 6.3 "1 cm" 1 "" "aran" 10 0.63
"1076" "aran082" 4 9.2 "" 0.5 "" "aran" 20 0.46
"1077" "aran083" 1 6.9 "" 0.5 "" "aran" 20 0.345
"1078" "aran083" 2 6.1 "1 cm" 1 "" "aran" 10 0.61
"1079" "aran083" 3 8.6 "" 0.5 "" "aran" 20 0.43
"1080" "aran083" 4 5.5 "1 cm" 1 "" "aran" 10 0.55
"1081" "aran084" 1 6.8 "1 cm" 1 "" "aran" 10 0.68
"1082" "aran084" 2 8.4 "1 cm" 1 "" "aran" 10 0.84
"1083" "aran084" 3 5.6 "1 cm" 1 "" "aran" 10 0.56
"1084" "aran084" 4 5.8 "1 cm" 1 "" "aran" 10 0.58
"1085" "aran084" 5 4.9 "1 cm" 1 "" "aran" 10 0.49
"1086" "aran084" 6 5.8 "" 0.5 "" "aran" 20 0.29
"1087" "aran085" 1 7.3 "" 0.5 "" "aran" 20 0.365
"1088" "aran086" 1 5.8 "1 cm" 1 "" "aran" 10 0.58
"1089" "aran086" 2 9.3 "1 cm" 1 "" "aran" 10 0.93
"1090" "aran086" 3 9.1 "" 0.5 "" "aran" 20 0.455
"1091" "aran086" 4 1.1 "cm" 1 "" "aran" 1 1.1
"1092" "aran086" 5 7.5 "1 cm" 1 "" "aran" 10 0.75
"1093" "aran086" 6 8.8 "" 0.5 "" "aran" 20 0.44
"1094" "aran086" 7 5.2 "1 cm" 1 "" "aran" 10 0.52
"1095" "aran086" 8 7.1 "1 cm" 1 "" "aran" 10 0.71
"1096" "aran086" 9 5.3 "1 cm" 1 "" "aran" 10 0.53
"1097" "aran086" 10 8.6 "1 cm" 1 "" "aran" 10 0.86
"1098" "aran086" 11 7.2 "1 cm" 1 "" "aran" 10 0.72
"1099" "aran086" 12 5.3 "1 cm" 1 "" "aran" 10 0.53
"1100" "aran086" 13 8.4 "1 cm" 1 "" "aran" 10 0.84
"1101" "aran086" 14 8.1 "1 cm" 1 "" "aran" 10 0.81
"1102" "aran086" 15 7.7 "1 cm" 1 "" "aran" 10 0.77
"1103" "aran086" 16 5.6 "1 cm" 1 "" "aran" 10 0.56
"1104" "aran086" 17 1.2 "cm" 1 "" "aran" 1 1.2
"1105" "aran086" 18 9.3 "1 cm" 1 "" "aran" 10 0.93
"1106" "aran087" 1 1.4 "cm" 1 "" "aran" 1 1.4
"1107" "aran087" 2 1.3 "cm" 1 "" "aran" 1 1.3
"1108" "aran087" 3 1.3 "cm" 1 "" "aran" 1 1.3
"1109" "aran087" 4 1.1 "cm" 1 "" "aran" 1 1.1
"1110" "aran087" 5 8 "1 cm" 1 "" "aran" 10 0.8
"1111" "aran087" 6 8.1 "1 cm" 1 "" "aran" 10 0.81
"1112" "aran087" 7 7.5 "1 cm" 1 "" "aran" 10 0.75
"1113" "aran087" 8 9.3 "1 cm" 1 "" "aran" 10 0.93
"1114" "aran088" 1 6.9 "1 cm" 1 "" "aran" 10 0.69
"1115" "aran088" 2 7.9 "1 cm" 1 "" "aran" 10 0.79
"1116" "aran088" 3 9.6 "" 0.5 "" "aran" 20 0.48
"1117" "aran088" 4 8.7 "1 cm" 1 "" "aran" 10 0.87
"1118" "aran088" 5 6.1 "1 cm" 1 "" "aran" 10 0.61
"1119" "aran088" 6 5.2 "1 cm" 1 "" "aran" 10 0.52
"1120" "aran088" 7 6 "1 cm" 1 "" "aran" 10 0.6
"1121" "aran088" 8 9.3 "1 cm" 1 "" "aran" 10 0.93
"1122" "aran088" 9 7.1 "1 cm" 1 "" "aran" 10 0.71
"1123" "aran088" 10 8 "" 0.5 "" "aran" 20 0.4
"1124" "aran088" 11 1.1 "cm" 1 "" "aran" 1 1.1
"1125" "aran089" 1 6.1 "1 cm" 1 "" "aran" 10 0.61
"1126" "aran089" 2 5.5 "1 cm" 1 "" "aran" 10 0.55
"1127" "aran089" 3 6.3 "1 cm" 1 "" "aran" 10 0.63
"1128" "aran089" 4 7 "" 0.5 "" "aran" 20 0.35
"1129" "aran089" 5 4.5 "" 0.5 "" "aran" 20 0.225
"1130" "aran089" 6 6.8 "1 cm" 1 "" "aran" 10 0.68
"1131" "aran089" 7 8.4 "1 cm" 1 "" "aran" 10 0.84
"1132" "aran089" 8 6 "1 cm" 1 "" "aran" 10 0.6
"1133" "aran089" 9 6.6 "1 cm" 1 "" "aran" 10 0.66
"1134" "aran089" 10 6.8 "" 0.5 "" "aran" 20 0.34
"1135" "aran089" 11 8 "" 0.5 "" "aran" 20 0.4
"1136" "aran089" 12 9.6 "" 0.5 "" "aran" 20 0.48
"1137" "aran090" 1 5.4 "1 cm" 1 "" "aran" 10 0.54
"1138" "aran090" 2 5.6 "1 cm" 1 "" "aran" 10 0.56
"1139" "aran090" 3 5.5 "1 cm" 1 "" "aran" 10 0.55
"1140" "aran090" 4 6.5 "1 cm" 1 "" "aran" 10 0.65
"1141" "aran090" 5 5 "1 cm" 1 "" "aran" 10 0.5
"1142" "aran090" 6 6.1 "1 cm" 1 "" "aran" 10 0.61
"1143" "aran090" 7 6.2 "1 cm" 1 "" "aran" 10 0.62
"1144" "aran090" 8 5.4 "1 cm" 1 "" "aran" 10 0.54
"1145" "aran090" 9 6.2 "1 cm" 1 "" "aran" 10 0.62
"1146" "aran090" 10 6 "1 cm" 1 "" "aran" 10 0.6
"1147" "aran090" 11 5.9 "1 cm" 1 "" "aran" 10 0.59
"1148" "aran090" 12 5.1 "1 cm" 1 "" "aran" 10 0.51
"1149" "aran090" 13 9.7 "" 0.5 "" "aran" 20 0.485
"1150" "aran090" 14 6.9 "1 cm" 1 "" "aran" 10 0.69
"1151" "aran090" 15 5.6 "1 cm" 1 "" "aran" 10 0.56
"1152" "aran091" 1 8.4 "" 0.5 "" "aran" 20 0.42
"1153" "aran091" 2 5.8 "1 cm" 1 "" "aran" 10 0.58
"1154" "aran092" 1 6.4 "1 cm" 1 "" "aran" 10 0.64
"1155" "aran092" 2 5.3 "1 cm" 1 "" "aran" 10 0.53
"1156" "aran092" 3 5.7 "1 cm" 1 "" "aran" 10 0.57
"1157" "aran092" 4 3.9 "" 0.5 "" "aran" 20 0.195
"1158" "aran093" 1 7.2 "1 cm" 1 "" "aran" 10 0.72
"1159" "aran093" 2 6.4 "1 cm" 1 "" "aran" 10 0.64
"1160" "aran094" 1 7.8 "1 cm" 1 "" "aran" 10 0.78
"1161" "aran095" 1 5 "1 cm" 1 "" "aran" 10 0.5
"1162" "aran095" 2 5.1 "1 cm" 1 "" "aran" 10 0.51
"1163" "aran096" 1 5.2 "1 cm" 1 "" "aran" 10 0.52
"1164" "aran097" 1 1.4 "cm" 1 "" "aran" 1 1.4
"1165" "aran098" 1 1.3 "cm" 1 "" "aran" 1 1.3
"1166" "aran098" 2 9.6 "1 cm" 1 "" "aran" 10 0.96
"1167" "aran099" 1 5.1 "" 0.5 "" "aran" 20 0.255
"1168" "aran099" 2 4.5 "" 0.5 "" "aran" 20 0.225
"1169" "aran099" 3 5.8 "" 0.5 "" "aran" 20 0.29
"1170" "aran099" 4 4.2 "" 0.5 "" "aran" 20 0.21
"1171" "aran099" 5 4.3 "" 0.5 "" "aran" 20 0.215
"1172" "aran099" 6 6.7 "" 0.5 "" "aran" 20 0.335
"1173" "aran099" 7 4.3 "" 0.5 "" "aran" 20 0.215
"1174" "aran099" 8 5.4 "" 0.5 "" "aran" 20 0.27
"1175" "aran100" 1 6.2 "1 cm" 1 "" "aran" 10 0.62
"1176" "aran100" 2 6 "1 cm" 1 "" "aran" 10 0.6
"1177" "aran101" 1 5.2 "1 cm" 1 "" "aran" 10 0.52
"1178" "aran101" 2 5 "1 cm" 1 "" "aran" 10 0.5
"1179" "aran101" 3 5.9 "" 0.5 "" "aran" 20 0.295
"1180" "aran102" 1 5.9 "1 cm" 1 "" "aran" 10 0.59
"1181" "aran103" 1 9.1 "1 cm" 1 "" "aran" 10 0.91
"1182" "aran103" 2 6.8 "1 cm" 1 "" "aran" 10 0.68
"1183" "aran104" 1 9.5 "" 0.5 "" "aran" 20 0.475
"1184" "aran104" 2 8.9 "" 0.5 "" "aran" 20 0.445
"1185" "aran104" 3 8.4 "" 0.5 "" "aran" 20 0.42
"1186" "aran104" 4 6.3 "1 cm" 1 "" "aran" 10 0.63
"1187" "aran104" 5 9.3 "" 0.5 "" "aran" 20 0.465
"1188" "aran104" 6 8.2 "" 0.5 "" "aran" 20 0.41
"1189" "aran104" 7 6.8 "" 0.5 "" "aran" 20 0.34
"1190" "aran104" 8 9.1 "" 0.5 "" "aran" 20 0.455
"1191" "aran105" 1 9.8 "" 0.5 "" "aran" 20 0.49
"1192" "aran106" 1 9 "1 cm" 1 "" "aran" 10 0.9
"1193" "aran106" 2 6.9 "1 cm" 1 "" "aran" 10 0.69
"1194" "aran106" 3 9.6 "1 cm" 1 "" "aran" 10 0.96
"1195" "aran106" 4 9.1 "1 cm" 1 "" "aran" 10 0.91
"1196" "aran106" 5 9.9 "1 cm" 1 "" "aran" 10 0.99
"1197" "aran106" 6 7.5 "1 cm" 1 "" "aran" 10 0.75
"1198" "aran106" 7 9 "1 cm" 1 "" "aran" 10 0.9
"1199" "aran107" 1 5.7 "" 0.5 "" "aran" 20 0.285
"1200" "aran107" 2 5.6 "" 0.5 "" "aran" 20 0.28
"1201" "aran107" 3 4.7 "" 0.5 "" "aran" 20 0.235
"1202" "aran107" 4 4 "" 0.5 "" "aran" 20 0.2
"1203" "aran108" 1 9.4 "" 0.5 "" "aran" 20 0.47
"1204" "aran109" 1 5 "" 0.5 "" "aran" 20 0.25
"1205" "aran110" 1 7.2 "" 0.5 "" "aran" 20 0.36
"1206" "aran111" 1 7.1 "1 cm" 1 "" "aran" 10 0.71
"1207" "aran112" 1 7.2 "1 cm" 1 "" "aran" 10 0.72
"1208" "aran112" 2 5 "1 cm" 1 "" "aran" 10 0.5
"1209" "aran112" 3 8.3 "" 0.5 "" "aran" 20 0.415
"1210" "aran113" 1 9.2 "" 0.5 "" "aran" 20 0.46
"1211" "aran114" 1 4.6 "" 0.5 "" "aran" 20 0.23
"1212" "aran115" 1 6.5 "" 0.5 "" "aran" 20 0.325
"1213" "aran115" 2 5.2 "1 cm" 1 "" "aran" 10 0.52
"1214" "aran116" 1 9.1 "1 cm" 1 "" "aran" 10 0.91
"1215" "aran117" 1 6.1 "1 cm" 1 "" "aran" 10 0.61
"1216" "aran117" 2 6.2 "1 cm" 1 "" "aran" 10 0.62
"1217" "aran117" 3 5.7 "1 cm" 1 "" "aran" 10 0.57
"1218" "aran117" 4 5.9 "1 cm" 1 "" "aran" 10 0.59
"1219" "aran118" 1 6.1 "1 cm" 1 "" "aran" 10 0.61
"1220" "aran118" 2 7.2 "1 cm" 1 "" "aran" 10 0.72
"1221" "aran118" 3 7.8 "1 cm" 1 "" "aran" 10 0.78
"1222" "aran118" 4 5.6 "1 cm" 1 "" "aran" 10 0.56
"1223" "aran118" 5 7.3 "1 cm" 1 "" "aran" 10 0.73
"1224" "aran118" 6 8.6 "1 cm" 1 "" "aran" 10 0.86
"1225" "aran118" 7 8 "1 cm" 1 "" "aran" 10 0.8
"1226" "aran118" 8 6.2 "1 cm" 1 "" "aran" 10 0.62
"1227" "aran118" 9 9.5 "1 cm" 1 "" "aran" 10 0.95
"1228" "aran119" 1 7.4 "1 cm" 1 "" "aran" 10 0.74
"1229" "aran119" 2 6.6 "1 cm" 1 "" "aran" 10 0.66
"1230" "aran119" 3 8.5 "" 0.5 "" "aran" 20 0.425
"1231" "aran119" 4 6.1 "1 cm" 1 "" "aran" 10 0.61
"1232" "aran119" 5 6 "1 cm" 1 "" "aran" 10 0.6
"1233" "aran119" 6 8.4 "" 0.5 "" "aran" 20 0.42
"1234" "aran120" 1 7.2 "1 cm" 1 "" "aran" 10 0.72
"1235" "aran121" 1 7.3 "" 0.5 "" "aran" 20 0.365
"1236" "aran121" 2 6 "1 cm" 1 "" "aran" 10 0.6
"1237" "aran122" 1 6 "1 cm" 1 "" "aran" 10 0.6
"1238" "aran122" 2 6.3 "1 cm" 1 "" "aran" 10 0.63
"1239" "aran122" 3 8 "" 0.5 "" "aran" 20 0.4
"1240" "aran122" 4 7.2 "" 0.5 "" "aran" 20 0.36
"1241" "aran122" 5 6 "" 0.5 "" "aran" 20 0.3
"1242" "aran122" 6 8.3 "" 0.5 "" "aran" 20 0.415
"1243" "aran122" 7 8.3 "" 0.5 "" "aran" 20 0.415
"1244" "aran122" 8 8 "" 0.5 "" "aran" 20 0.4
"1245" "aran122" 9 6 "" 0.5 "" "aran" 20 0.3
"1246" "aran122" 10 6.6 "1 cm" 1 "" "aran" 10 0.66
"1247" "aran123" 1 4.9 "" 0.5 "" "aran" 20 0.245
"1248" "aran123" 2 4.6 "" 0.5 "" "aran" 20 0.23
"1249" "aran124" 1 6.7 "1 cm" 1 "" "aran" 10 0.67
"1250" "aran125" 1 1.4 "cm" 1 "" "aran" 1 1.4
"1251" "aran126" 1 7.5 "" 0.5 "" "aran" 20 0.375
"1252" "aran127" 1 1.5 "cm" 1 "" "aran" 1 1.5
"1253" "aran128" 1 5.6 "1 cm" 1 "" "aran" 10 0.56
"1254" "aran129" 1 5.6 "1 cm" 1 "" "aran" 10 0.56
"1255" "aran130" 1 5.2 "" 0.5 "" "aran" 20 0.26
"1256" "aran131" 1 1.4 "cm" 1 "" "aran" 1 1.4
"1257" "aran132" 1 8 "1 cm" 1 "" "aran" 10 0.8
"1258" "hemi001" 1 1 "cm" 1 "" "hemi" 1 1
"1259" "hemi001" 2 1.5 "cm" 1 "" "hemi" 1 1.5
"1260" "hemi001" 3 7.7 "1 cm" 1 "" "hemi" 10 0.77
"1261" "hemi001" 4 9.8 "1 cm" 1 "" "hemi" 10 0.98
"1262" "hemi001" 5 1 "cm" 1 "" "hemi" 1 1
"1263" "hemi001" 6 9.2 "1 cm" 1 "" "hemi" 10 0.92
"1264" "hemi001" 7 1 "cm" 1 "" "hemi" 1 1
"1265" "hemi001" 8 5.5 "1 cm" 1 "" "hemi" 10 0.55
"1266" "hemi001" 9 1.35 "cm" 1 "" "hemi" 1 1.35
"1267" "hemi001" 10 1.2 "cm" 1 "" "hemi" 1 1.2
"1268" "hemi001" 11 9 "" 0.5 "" "hemi" 20 0.45
"1269" "hemi001" 12 1.15 "cm" 1 "" "hemi" 1 1.15
"1270" "hemi001" 13 7.4 "" 0.5 "" "hemi" 20 0.37
"1271" "hemi001" 14 7 "1 cm" 1 "" "hemi" 10 0.7
"1272" "hemi001" 15 1.55 "cm" 1 "" "hemi" 1 1.55
"1273" "hemi001" 16 1.35 "cm" 1 "" "hemi" 1 1.35
"1274" "hemi001" 17 8.4 "1 cm" 1 "" "hemi" 10 0.84
"1275" "hemi001" 18 8.2 "1 cm" 1 "" "hemi" 10 0.82
"1276" "hemi001" 19 7.1 "" 0.5 "" "hemi" 20 0.355
"1277" "hemi001" 20 1.3 "cm" 1 "" "hemi" 1 1.3
"1278" "hemi002" 1 1.35 "cm" 1 "" "hemi" 1 1.35
"1279" "hemi002" 2 1.5 "cm" 1 "" "hemi" 1 1.5
"1280" "hemi002" 3 8.1 "1 cm" 1 "" "hemi" 10 0.81
"1281" "hemi002" 4 9.9 "" 0.5 "" "hemi" 20 0.495
"1282" "hemi002" 5 1.3 "cm" 1 "" "hemi" 1 1.3
"1283" "hemi002" 6 1.25 "cm" 1 "" "hemi" 1 1.25
"1284" "hemi002" 7 1.6 "cm" 1 "" "hemi" 1 1.6
"1285" "hemi002" 8 8.9 "1 cm" 1 "" "hemi" 10 0.89
"1286" "hemi002" 9 8 "1 cm" 1 "" "hemi" 10 0.8
"1287" "hemi002" 10 1.4 "cm" 1 "" "hemi" 1 1.4
"1288" "hemi002" 11 5 "1 cm" 1 "" "hemi" 10 0.5
"1289" "hemi002" 12 1.2 "cm" 1 "" "hemi" 1 1.2
"1290" "hemi002" 13 9.5 "1 cm" 1 "" "hemi" 10 0.95
"1291" "hemi002" 14 1.1 "cm" 1 "" "hemi" 1 1.1
"1292" "hemi002" 15 1.15 "cm" 1 "" "hemi" 1 1.15
"1293" "hemi002" 16 10 "1 cm" 1 "" "hemi" 10 1
"1294" "hemi002" 17 7.5 "1 cm" 1 "" "hemi" 10 0.75
"1295" "hemi002" 18 9.8 "" 0.5 "" "hemi" 20 0.49
"1296" "hemi002" 19 6.1 "1 cm" 1 "" "hemi" 10 0.61
"1297" "hemi002" 20 8.4 "1 cm" 1 "" "hemi" 10 0.84
"1298" "hemi003" 1 5.9 "1 cm" 1 "" "hemi" 10 0.59
"1299" "hemi003" 2 8.6 "1 cm" 1 "" "hemi" 10 0.86
"1300" "hemi003" 3 9 "1 cm" 1 "" "hemi" 10 0.9
"1301" "hemi003" 4 6 "1 cm" 1 "" "hemi" 10 0.6
"1302" "hemi003" 5 9.8 "1 cm" 1 "" "hemi" 10 0.98
"1303" "hemi003" 6 9.4 "1 cm" 1 "" "hemi" 10 0.94
"1304" "hemi003" 7 5.2 "1 cm" 1 "" "hemi" 10 0.52
"1305" "hemi003" 8 9.1 "1 cm" 1 "" "hemi" 10 0.91
"1306" "hemi003" 9 1.05 "cm" 1 "" "hemi" 1 1.05
"1307" "hemi003" 10 9 "1 cm" 1 "" "hemi" 10 0.9
"1308" "hemi003" 11 10 "1 cm" 1 "" "hemi" 10 1
"1309" "hemi003" 12 9 "1 cm" 1 "" "hemi" 10 0.9
"1310" "hemi003" 13 9.1 "1 cm" 1 "" "hemi" 10 0.91
"1311" "hemi003" 14 1.1 "cm" 1 "" "hemi" 1 1.1
"1312" "hemi003" 15 10 "1 cm" 1 "" "hemi" 10 1
"1313" "hemi003" 16 8.2 "1 cm" 1 "" "hemi" 10 0.82
"1314" "hemi003" 17 9.1 "1 cm" 1 "" "hemi" 10 0.91
"1315" "hemi003" 18 1.1 "cm" 1 "" "hemi" 1 1.1
"1316" "hemi003" 19 10 "1 cm" 1 "" "hemi" 10 1
"1317" "hemi003" 20 8.3 "1 cm" 1 "" "hemi" 10 0.83
"1318" "hemi004" 1 1.5 "cm" 1 "" "hemi" 1 1.5
"1319" "hemi004" 2 1.5 "cm" 1 "" "hemi" 1 1.5
"1320" "hemi004" 3 1.5 "cm" 1 "" "hemi" 1 1.5
"1321" "hemi004" 4 1.5 "cm" 1 "" "hemi" 1 1.5
"1322" "hemi004" 5 1.6 "cm" 1 "" "hemi" 1 1.6
"1323" "hemi004" 6 1.65 "cm" 1 "" "hemi" 1 1.65
"1324" "hemi004" 7 1.65 "cm" 1 "" "hemi" 1 1.65
"1325" "hemi005" 1 1.7 "cm" 1 "" "hemi" 1 1.7
"1326" "hemi005" 2 2.2 "cm" 1 "" "hemi" 1 2.2
"1327" "hemi005" 3 1.7 "cm" 1 "" "hemi" 1 1.7
"1328" "hemi006" 1 6.9 "" 0.5 "" "hemi" 20 0.345
"1329" "hemi006" 2 9.8 "" 0.5 "" "hemi" 20 0.49
"1330" "hemi006" 3 7.7 "" 0.5 "" "hemi" 20 0.385
"1331" "hemi006" 4 9.5 "" 0.5 "" "hemi" 20 0.475
"1332" "hemi006" 5 5.3 "1 cm" 1 "" "hemi" 10 0.53
"1333" "hemi006" 6 5.3 "1 cm" 1 "" "hemi" 10 0.53
"1334" "hemi006" 7 5.6 "1 cm" 1 "" "hemi" 10 0.56
"1335" "hemi006" 8 5.4 "1 cm" 1 "" "hemi" 10 0.54
"1336" "hemi006" 9 5.2 "1 cm" 1 "" "hemi" 10 0.52
"1337" "hemi006" 10 9.1 "" 0.5 "" "hemi" 20 0.455
"1338" "hemi006" 11 7.7 "" 0.5 "" "hemi" 20 0.385
"1339" "hemi006" 12 5.6 "1 cm" 1 "" "hemi" 10 0.56
"1340" "hemi006" 13 5.1 "1 cm" 1 "" "hemi" 10 0.51
