"morph" "size" "group" "a" "b" "bio"
"88" "aran088" 0.7 "aran" -2.13 2.23 0.0536440282784458
"89" "aran089" 0.530416666666667 "aran" -2.13 2.23 0.0288967515976593
"90" "aran090" 0.575 "aran" -2.13 2.23 0.0345948974218011
"91" "aran091" 0.5 "aran" -2.13 2.23 0.0253312057954615
"92" "aran092" 0.48375 "aran" -2.13 2.23 0.0235319292802541
"93" "aran093" 0.68 "aran" -2.13 2.23 0.0502860622755579
"94" "aran094" 0.78 "aran" -2.13 2.23 0.0682847490268713
"95" "aran095" 0.505 "aran" -2.13 2.23 0.0258995683912471
"96" "aran096" 0.52 "aran" -2.13 2.23 0.0276465032895916
"97" "aran097" 1.4 "aran" -2.13 2.23 0.251662364730178
"98" "aran098" 1.13 "aran" -2.13 2.23 0.156069371882371
"99" "aran099" 0.251875 "aran" -2.13 2.23 0.0054902920277491
"100" "aran100" 0.61 "aran" -2.13 2.23 0.0394673789498676
"101" "aran101" 0.438333333333333 "aran" -2.13 2.23 0.0188876003308117
"102" "aran102" 0.59 "aran" -2.13 2.23 0.036639770060265
"103" "aran103" 0.795 "aran" -2.13 2.23 0.0712477986500013
"104" "aran104" 0.455 "aran" -2.13 2.23 0.0205266542949271
"105" "aran105" 0.49 "aran" -2.13 2.23 0.0242153088197434
"106" "aran106" 0.871428571428571 "aran" -2.13 2.23 0.0874318476887081
"107" "aran107" 0.25 "aran" -2.13 2.23 0.0053995674779413
"108" "aran108" 0.47 "aran" -2.13 2.23 0.0220663741036039
"109" "aran109" 0.25 "aran" -2.13 2.23 0.0053995674779413
"110" "aran110" 0.36 "aran" -2.13 2.23 0.0121760754411041
"111" "aran111" 0.71 "aran" -2.13 2.23 0.0553680044566405
"112" "aran112" 0.545 "aran" -2.13 2.23 0.0306984857401323
"113" "aran113" 0.46 "aran" -2.13 2.23 0.0210330724694617
"114" "aran114" 0.23 "aran" -2.13 2.23 0.00448338286713677
