"morph" "size" "group" "a" "b" "bio"
"90" "aran090" 0.575 "aran" -2.13 2.23 5.87505649541388
"91" "aran091" 0.5 "aran" -2.13 2.23 4.30185594513447
"92" "aran092" 0.48375 "aran" -2.13 2.23 3.99629495303702
"93" "aran093" 0.68 "aran" -2.13 2.23 8.53979860667622
"94" "aran094" 0.78 "aran" -2.13 2.23 11.5964141594827
"95" "aran095" 0.505 "aran" -2.13 2.23 4.39837776219342
"96" "aran096" 0.52 "aran" -2.13 2.23 4.69504987243117
"97" "aran097" 1.4 "aran" -2.13 2.23 42.7384013466537
"98" "aran098" 1.13 "aran" -2.13 2.23 26.5043820142928
"99" "aran099" 0.251875 "aran" -2.13 2.23 0.932385358628624
"100" "aran100" 0.61 "aran" -2.13 2.23 6.70252257809149
"101" "aran101" 0.438333333333333 "aran" -2.13 2.23 3.20757473720353
"102" "aran102" 0.59 "aran" -2.13 2.23 6.22232569325029
"103" "aran103" 0.795 "aran" -2.13 2.23 12.0996121809237
"104" "aran104" 0.455 "aran" -2.13 2.23 3.48592603626365
"105" "aran105" 0.49 "aran" -2.13 2.23 4.11234944955302
"106" "aran106" 0.871428571428571 "aran" -2.13 2.23 14.8480580360351
"107" "aran107" 0.25 "aran" -2.13 2.23 0.916978119545268
"108" "aran108" 0.47 "aran" -2.13 2.23 3.74740797542915
"109" "aran109" 0.25 "aran" -2.13 2.23 0.916978119545268
"110" "aran110" 0.36 "aran" -2.13 2.23 2.06779428297503
"111" "aran111" 0.71 "aran" -2.13 2.23 9.40283621179633
"112" "aran112" 0.545 "aran" -2.13 2.23 5.21335085483671
"113" "aran113" 0.46 "aran" -2.13 2.23 3.57192818130312
"114" "aran114" 0.23 "aran" -2.13 2.23 0.761387649567075
"115" "aran115" 0.4225 "aran" -2.13 2.23 2.95492405968117
"116" "aran116" 0.91 "aran" -2.13 2.23 16.3536635430695
"117" "aran117" 0.5975 "aran" -2.13 2.23 6.40009310638966
"118" "aran118" 0.736666666666667 "aran" -2.13 2.23 10.208622060537
"119" "aran119" 0.575833333333333 "aran" -2.13 2.23 5.89406092236355
"120" "aran120" 0.72 "aran" -2.13 2.23 9.70072561157997
"121" "aran121" 0.4825 "aran" -2.13 2.23 3.9733037941523
"122" "aran122" 0.448 "aran" -2.13 2.23 3.36746216375571
"123" "aran123" 0.2375 "aran" -2.13 2.23 0.817866863318913
"124" "aran124" 0.67 "aran" -2.13 2.23 8.26227343451042
"125" "aran125" 1.4 "aran" -2.13 2.23 42.7384013466537
"126" "aran126" 0.375 "aran" -2.13 2.23 2.26486583494465
"127" "aran127" 1.5 "aran" -2.13 2.23 49.8466826950777
"128" "aran128" 0.56 "aran" -2.13 2.23 5.53875370781274
"129" "aran129" 0.56 "aran" -2.13 2.23 5.53875370781274
"130" "aran130" 0.26 "aran" -2.13 2.23 1.00079083495638
"131" "aran131" 1.4 "aran" -2.13 2.23 42.7384013466537
"132" "aran132" 0.8 "aran" -2.13 2.23 12.269967843111
"133" "cole001" 0.5755 "cole" -3.2 2.56 3.59727548050432
"134" "cole002" 0.8615 "cole" -3.2 2.56 10.1044151020684
"135" "cole003" 0.503 "cole" -3.2 2.56 2.54842407756418
"136" "cole005" 0.3425 "cole" -3.2 2.56 0.952771443610724
"137" "cole006" 0.325 "cole" -3.2 2.56 0.833065332627676
"138" "cole007" 1.04545454545455 "cole" -3.2 2.56 16.5836015760536
"139" "cole008" 0.812 "cole" -3.2 2.56 8.68402555416943
"140" "cole009" 0.905 "cole" -3.2 2.56 11.4624649495593
"141" "cole010" 0.675 "cole" -3.2 2.56 5.41097237065807
"142" "cole011" 0.5775 "cole" -3.2 2.56 3.62936585130057
"143" "cole012" 0.961333333333333 "cole" -3.2 2.56 13.3787365340282
"144" "cole013" 0.765 "cole" -3.2 2.56 7.45471306443371
"145" "cole014" 1.43 "cole" -3.2 2.56 36.9758285008504
"146" "cole015" 0.9415 "cole" -3.2 2.56 12.683458383496
"147" "cole016" 0.570588235294118 "cole" -3.2 2.56 3.51920089082356
"148" "cole018" 0.649 "cole" -3.2 2.56 4.89332523054129
"149" "cole020" 0.94 "cole" -3.2 2.56 12.63179192227
"150" "cole021" 0.75 "cole" -3.2 2.56 7.08621772880785
"151" "cole022" 1.081 "cole" -3.2 2.56 18.0655602481857
"152" "cole023" 0.56 "cole" -3.2 2.56 3.35443211297483
"153" "cole025" 0.69 "cole" -3.2 2.56 5.72415427538438
"154" "cole026" 0.3895 "cole" -3.2 2.56 1.32420968729672
"155" "cole027" 0.418 "cole" -3.2 2.56 1.58660544085436
"156" "cole028" 0.336 "cole" -3.2 2.56 0.907164837051489
"157" "cole029" 0.62 "cole" -3.2 2.56 4.35291696766741
"158" "cole030" 0.257 "cole" -3.2 2.56 0.456758306040596
"159" "cole032" 0.52 "cole" -3.2 2.56 2.77476506264291
"160" "cole033" 0.804736842105263 "cole" -3.2 2.56 8.48655836040239
"161" "cole034" 0.29925 "cole" -3.2 2.56 0.674380657087009
"162" "cole035" 0.498 "cole" -3.2 2.56 2.48407540788877
"163" "cole037" 0.475238095238095 "cole" -3.2 2.56 2.20368973705595
"164" "cole038" 1.4 "cole" -3.2 2.56 35.0223617218794
"165" "cole040" 0.52 "cole" -3.2 2.56 2.77476506264291
"166" "cole041" 0.545 "cole" -3.2 2.56 3.12919554833942
"167" "cole042" 0.465 "cole" -3.2 2.56 2.08418956568292
"168" "cole043" 0.995 "cole" -3.2 2.56 14.6111616176436
"169" "cole044" 0.709 "cole" -3.2 2.56 6.13637680938703
"170" "cole045" 1.015 "cole" -3.2 2.56 15.3748442882647
"171" "cole046" 0.25 "cole" -3.2 2.56 0.42558281230063
"172" "cole047" 0.4 "cole" -3.2 2.56 1.41752666037405
"173" "cole048" 0.65 "cole" -3.2 2.56 4.91265030354142
"174" "cole050" 0.2675 "cole" -3.2 2.56 0.506065290044931
"175" "cole051" 0.63 "cole" -3.2 2.56 4.53491827065113
"176" "cole052" 0.416 "cole" -3.2 2.56 1.56724388611855
"177" "cole054" 0.53 "cole" -3.2 2.56 2.91342527850435
"178" "cole055" 0.46 "cole" -3.2 2.56 2.02729853721299
