"morph" "nospec" "r_cm_size"
"215" "aran005" 11 0.8
"216" "aran005" 12 0.97
"217" "aran005" 13 0.99
"218" "aran005" 14 0.62
"219" "aran006" 1 0.5
"220" "aran006" 2 0.435
"221" "aran006" 3 0.59
"222" "aran006" 4 0.53
"223" "aran006" 5 0.58
"224" "aran006" 6 0.6
"225" "aran006" 7 0.68
"226" "aran006" 8 0.72
"227" "aran006" 9 0.62
"228" "aran006" 10 0.62
"229" "aran006" 11 0.61
"230" "aran006" 12 0.66
"231" "aran006" 13 0.7
"232" "aran006" 14 0.64
"233" "aran006" 15 0.61
"234" "aran006" 16 0.64
"235" "aran006" 17 0.57
"236" "aran006" 18 0.56
"237" "aran006" 19 0.45
"238" "aran006" 20 0.72
"239" "aran007" 1 0.41
"240" "aran007" 2 1.2
"241" "aran007" 3 0.83
"242" "aran007" 4 0.57
"243" "aran007" 5 0.95
"244" "aran007" 6 1
"245" "aran007" 7 0.99
"246" "aran008" 1 0.8
"247" "aran008" 2 1.1
"248" "aran008" 3 1
"249" "aran008" 4 0.6
"250" "aran008" 5 0.47
"251" "aran008" 6 0.405
"252" "aran008" 7 0.27
"253" "aran008" 8 0.45
"254" "aran008" 9 1.3
"255" "aran008" 10 0.7
"256" "aran008" 11 0.36
"257" "aran008" 12 0.76
"258" "aran008" 13 0.76
"259" "aran008" 14 0.61
"260" "aran008" 15 0.35
"261" "aran008" 16 0.445
"262" "aran008" 17 0.35
"263" "aran008" 18 0.38
"264" "aran008" 19 0.71
"265" "aran008" 20 1.1
"266" "aran009" 1 0.72
"267" "aran009" 2 0.36
"268" "aran009" 3 0.86
"269" "aran009" 4 0.59
"270" "aran009" 5 0.43
"271" "aran009" 6 0.82
"272" "aran009" 7 0.76
"273" "aran009" 8 0.44
"274" "aran009" 9 1.2
"275" "aran009" 10 0.4
"276" "aran009" 11 1.1
"277" "aran009" 12 0.54
"278" "aran009" 13 0.7
"279" "aran009" 14 0.86
"280" "aran009" 15 0.28
"281" "aran009" 16 0.42
"282" "aran009" 17 0.94
"283" "aran009" 18 0.77
"284" "aran009" 19 0.5
"285" "aran009" 20 0.92
"286" "aran010" 1 0.37
"287" "aran010" 2 0.38
"288" "aran010" 3 0.27
"289" "aran010" 4 0.515
"290" "aran010" 5 0.25
"291" "aran010" 6 0.445
"292" "aran010" 7 0.38
"293" "aran011" 1 0.65
"294" "aran011" 2 0.52
"295" "aran011" 3 0.425
"296" "aran011" 4 0.32
"297" "aran011" 5 0.54
"298" "aran011" 6 0.375
"299" "aran011" 7 0.335
"300" "aran011" 8 0.81
"301" "aran011" 9 0.445
"302" "aran011" 10 0.56
