"morph" "nospec" "r_cm_size"
"930" "aran064" 3 0.94
"931" "aran064" 4 0.4
"932" "aran064" 5 0.435
"933" "aran064" 6 0.53
"934" "aran064" 7 0.38
"935" "aran064" 8 0.66
"936" "aran065" 1 0.405
"937" "aran065" 2 0.405
"938" "aran066" 1 0.62
"939" "aran066" 2 0.86
"940" "aran066" 3 0.81
"941" "aran066" 4 0.76
"942" "aran066" 5 0.345
"943" "aran067" 1 0.33
"944" "aran067" 2 0.345
"945" "aran067" 3 0.36
"946" "aran067" 4 0.255
"947" "aran067" 5 0.27
"948" "aran067" 6 0.345
"949" "aran068" 1 0.265
"950" "aran069" 1 0.3
"951" "aran069" 2 0.22
"952" "aran069" 3 0.6
"953" "aran070" 1 0.27
"954" "aran070" 2 0.275
"955" "aran070" 3 0.23
"956" "aran070" 4 0.275
"957" "aran071" 1 0.7
"958" "aran071" 2 0.48
"959" "aran071" 3 0.64
"960" "aran071" 4 0.74
"961" "aran071" 5 0.35
"962" "aran071" 6 0.66
"963" "aran071" 7 1.3
"964" "aran071" 8 0.69
"965" "aran071" 9 0.67
"966" "aran071" 10 0.53
"967" "aran071" 11 0.53
"968" "aran071" 12 0.76
"969" "aran071" 13 0.36
"970" "aran071" 14 1.1
"971" "aran071" 15 0.66
"972" "aran072" 1 0.46
"973" "aran072" 2 0.47
"974" "aran072" 3 0.265
"975" "aran072" 4 0.445
"976" "aran072" 5 0.37
"977" "aran072" 6 0.45
"978" "aran072" 7 0.445
"979" "aran072" 8 0.35
"980" "aran072" 9 0.59
"981" "aran072" 10 0.3
"982" "aran072" 11 0.345
"983" "aran072" 12 0.445
"984" "aran072" 13 0.53
"985" "aran072" 14 0.335
"986" "aran072" 15 0.66
"987" "aran072" 16 0.64
"988" "aran072" 17 0.71
"989" "aran072" 18 0.65
"990" "aran072" 19 0.415
"991" "aran072" 20 0.485
"992" "aran073" 1 0.415
"993" "aran073" 2 0.375
"994" "aran073" 3 0.425
"995" "aran073" 4 0.455
"996" "aran073" 5 0.255
"997" "aran073" 6 0.71
"998" "aran073" 7 0.26
"999" "aran073" 8 0.38
"1000" "aran073" 9 0.28
"1001" "aran073" 10 0.48
"1002" "aran073" 11 0.39
"1003" "aran073" 12 0.46
"1004" "aran073" 13 0.355
"1005" "aran073" 14 0.295
"1006" "aran073" 15 0.375
"1007" "aran073" 16 0.65
"1008" "aran073" 17 0.53
"1009" "aran073" 18 0.31
"1010" "aran073" 19 0.405
"1011" "aran073" 20 0.6
"1012" "aran074" 1 0.405
"1013" "aran074" 2 0.29
"1014" "aran074" 3 0.31
"1015" "aran074" 4 0.42
"1016" "aran074" 5 0.285
"1017" "aran074" 6 0.21
"1018" "aran074" 7 0.23
"1019" "aran074" 8 0.19
"1020" "aran074" 9 0.16
"1021" "aran075" 1 0.295
"1022" "aran075" 2 0.29
"1023" "aran075" 3 0.305
"1024" "aran075" 4 0.385
"1025" "aran075" 5 0.265
"1026" "aran075" 6 0.235
"1027" "aran076" 1 0.24
"1028" "aran076" 2 0.225
"1029" "aran077" 1 0.77
"1030" "aran077" 2 0.67
"1031" "aran077" 3 0.36
"1032" "aran077" 4 0.385
"1033" "aran077" 5 0.91
"1034" "aran077" 6 1.2
"1035" "aran077" 7 1.4
"1036" "aran077" 8 1.1
"1037" "aran077" 9 0.325
"1038" "aran077" 10 0.67
"1039" "aran077" 11 0.355
"1040" "aran077" 12 1.02
"1041" "aran077" 13 1.4
"1042" "aran077" 14 0.78
"1043" "aran077" 15 0.34
"1044" "aran077" 16 0.39
"1045" "aran077" 17 0.39
"1046" "aran077" 18 0.305
"1047" "aran077" 19 0.485
"1048" "aran077" 20 1.2
"1049" "aran078" 1 0.58
"1050" "aran078" 2 0.57
"1051" "aran078" 3 0.62
"1052" "aran078" 4 0.65
"1053" "aran078" 5 0.59
"1054" "aran078" 6 0.51
"1055" "aran078" 7 0.475
"1056" "aran078" 8 0.6
"1057" "aran078" 9 0.75
"1058" "aran078" 10 0.66
"1059" "aran079" 1 0.445
"1060" "aran079" 2 0.475
"1061" "aran079" 3 0.295
"1062" "aran079" 4 0.55
"1063" "aran079" 5 0.35
"1064" "aran079" 6 0.5
"1065" "aran079" 7 0.44
"1066" "aran079" 8 0.77
"1067" "aran080" 1 0.325
"1068" "aran080" 2 0.365
"1069" "aran080" 3 0.22
"1070" "aran080" 4 0.495
"1071" "aran081" 1 0.61
"1072" "aran081" 2 0.55
"1073" "aran082" 1 0.3
"1074" "aran082" 2 0.38
"1075" "aran082" 3 0.63
"1076" "aran082" 4 0.46
"1077" "aran083" 1 0.345
"1078" "aran083" 2 0.61
"1079" "aran083" 3 0.43
"1080" "aran083" 4 0.55
"1081" "aran084" 1 0.68
"1082" "aran084" 2 0.84
"1083" "aran084" 3 0.56
"1084" "aran084" 4 0.58
"1085" "aran084" 5 0.49
"1086" "aran084" 6 0.29
"1087" "aran085" 1 0.365
"1088" "aran086" 1 0.58
"1089" "aran086" 2 0.93
"1090" "aran086" 3 0.455
"1091" "aran086" 4 1.1
"1092" "aran086" 5 0.75
"1093" "aran086" 6 0.44
"1094" "aran086" 7 0.52
"1095" "aran086" 8 0.71
"1096" "aran086" 9 0.53
"1097" "aran086" 10 0.86
"1098" "aran086" 11 0.72
"1099" "aran086" 12 0.53
"1100" "aran086" 13 0.84
"1101" "aran086" 14 0.81
"1102" "aran086" 15 0.77
"1103" "aran086" 16 0.56
"1104" "aran086" 17 1.2
"1105" "aran086" 18 0.93
"1106" "aran087" 1 1.4
"1107" "aran087" 2 1.3
"1108" "aran087" 3 1.3
"1109" "aran087" 4 1.1
"1110" "aran087" 5 0.8
"1111" "aran087" 6 0.81
"1112" "aran087" 7 0.75
"1113" "aran087" 8 0.93
"1114" "aran088" 1 0.69
"1115" "aran088" 2 0.79
"1116" "aran088" 3 0.48
"1117" "aran088" 4 0.87
"1118" "aran088" 5 0.61
"1119" "aran088" 6 0.52
"1120" "aran088" 7 0.6
"1121" "aran088" 8 0.93
"1122" "aran088" 9 0.71
"1123" "aran088" 10 0.4
"1124" "aran088" 11 1.1
"1125" "aran089" 1 0.61
"1126" "aran089" 2 0.55
"1127" "aran089" 3 0.63
"1128" "aran089" 4 0.35
"1129" "aran089" 5 0.225
"1130" "aran089" 6 0.68
"1131" "aran089" 7 0.84
"1132" "aran089" 8 0.6
"1133" "aran089" 9 0.66
"1134" "aran089" 10 0.34
"1135" "aran089" 11 0.4
"1136" "aran089" 12 0.48
"1137" "aran090" 1 0.54
"1138" "aran090" 2 0.56
"1139" "aran090" 3 0.55
"1140" "aran090" 4 0.65
"1141" "aran090" 5 0.5
"1142" "aran090" 6 0.61
"1143" "aran090" 7 0.62
"1144" "aran090" 8 0.54
"1145" "aran090" 9 0.62
"1146" "aran090" 10 0.6
"1147" "aran090" 11 0.59
"1148" "aran090" 12 0.51
"1149" "aran090" 13 0.485
"1150" "aran090" 14 0.69
"1151" "aran090" 15 0.56
"1152" "aran091" 1 0.42
"1153" "aran091" 2 0.58
"1154" "aran092" 1 0.64
"1155" "aran092" 2 0.53
"1156" "aran092" 3 0.57
"1157" "aran092" 4 0.195
"1158" "aran093" 1 0.72
"1159" "aran093" 2 0.64
"1160" "aran094" 1 0.78
"1161" "aran095" 1 0.5
"1162" "aran095" 2 0.51
"1163" "aran096" 1 0.52
"1164" "aran097" 1 1.4
"1165" "aran098" 1 1.3
"1166" "aran098" 2 0.96
"1167" "aran099" 1 0.255
"1168" "aran099" 2 0.225
"1169" "aran099" 3 0.29
"1170" "aran099" 4 0.21
"1171" "aran099" 5 0.215
"1172" "aran099" 6 0.335
"1173" "aran099" 7 0.215
"1174" "aran099" 8 0.27
"1175" "aran100" 1 0.62
"1176" "aran100" 2 0.6
"1177" "aran101" 1 0.52
"1178" "aran101" 2 0.5
"1179" "aran101" 3 0.295
"1180" "aran102" 1 0.59
"1181" "aran103" 1 0.91
"1182" "aran103" 2 0.68
"1183" "aran104" 1 0.475
"1184" "aran104" 2 0.445
"1185" "aran104" 3 0.42
"1186" "aran104" 4 0.63
"1187" "aran104" 5 0.465
"1188" "aran104" 6 0.41
"1189" "aran104" 7 0.34
"1190" "aran104" 8 0.455
"1191" "aran105" 1 0.49
"1192" "aran106" 1 0.9
"1193" "aran106" 2 0.69
"1194" "aran106" 3 0.96
"1195" "aran106" 4 0.91
"1196" "aran106" 5 0.99
"1197" "aran106" 6 0.75
"1198" "aran106" 7 0.9
"1199" "aran107" 1 0.285
"1200" "aran107" 2 0.28
"1201" "aran107" 3 0.235
"1202" "aran107" 4 0.2
"1203" "aran108" 1 0.47
"1204" "aran109" 1 0.25
"1205" "aran110" 1 0.36
"1206" "aran111" 1 0.71
"1207" "aran112" 1 0.72
"1208" "aran112" 2 0.5
"1209" "aran112" 3 0.415
"1210" "aran113" 1 0.46
"1211" "aran114" 1 0.23
"1212" "aran115" 1 0.325
"1213" "aran115" 2 0.52
"1214" "aran116" 1 0.91
"1215" "aran117" 1 0.61
"1216" "aran117" 2 0.62
"1217" "aran117" 3 0.57
"1218" "aran117" 4 0.59
"1219" "aran118" 1 0.61
"1220" "aran118" 2 0.72
"1221" "aran118" 3 0.78
"1222" "aran118" 4 0.56
"1223" "aran118" 5 0.73
"1224" "aran118" 6 0.86
"1225" "aran118" 7 0.8
"1226" "aran118" 8 0.62
"1227" "aran118" 9 0.95
"1228" "aran119" 1 0.74
"1229" "aran119" 2 0.66
"1230" "aran119" 3 0.425
"1231" "aran119" 4 0.61
"1232" "aran119" 5 0.6
"1233" "aran119" 6 0.42
"1234" "aran120" 1 0.72
"1235" "aran121" 1 0.365
"1236" "aran121" 2 0.6
"1237" "aran122" 1 0.6
"1238" "aran122" 2 0.63
"1239" "aran122" 3 0.4
"1240" "aran122" 4 0.36
"1241" "aran122" 5 0.3
"1242" "aran122" 6 0.415
"1243" "aran122" 7 0.415
"1244" "aran122" 8 0.4
"1245" "aran122" 9 0.3
"1246" "aran122" 10 0.66
"1247" "aran123" 1 0.245
"1248" "aran123" 2 0.23
"1249" "aran124" 1 0.67
"1250" "aran125" 1 1.4
"1251" "aran126" 1 0.375
"1252" "aran127" 1 1.5
"1253" "aran128" 1 0.56
"1254" "aran129" 1 0.56
"1255" "aran130" 1 0.26
"1256" "aran131" 1 1.4
"1257" "aran132" 1 0.8
"1258" "hemi001" 1 1
"1259" "hemi001" 2 1.5
"1260" "hemi001" 3 0.77
"1261" "hemi001" 4 0.98
"1262" "hemi001" 5 1
"1263" "hemi001" 6 0.92
"1264" "hemi001" 7 1
"1265" "hemi001" 8 0.55
"1266" "hemi001" 9 1.35
"1267" "hemi001" 10 1.2
"1268" "hemi001" 11 0.45
"1269" "hemi001" 12 1.15
"1270" "hemi001" 13 0.37
"1271" "hemi001" 14 0.7
"1272" "hemi001" 15 1.55
"1273" "hemi001" 16 1.35
"1274" "hemi001" 17 0.84
"1275" "hemi001" 18 0.82
"1276" "hemi001" 19 0.355
"1277" "hemi001" 20 1.3
"1278" "hemi002" 1 1.35
"1279" "hemi002" 2 1.5
"1280" "hemi002" 3 0.81
"1281" "hemi002" 4 0.495
"1282" "hemi002" 5 1.3
"1283" "hemi002" 6 1.25
"1284" "hemi002" 7 1.6
"1285" "hemi002" 8 0.89
"1286" "hemi002" 9 0.8
"1287" "hemi002" 10 1.4
"1288" "hemi002" 11 0.5
"1289" "hemi002" 12 1.2
"1290" "hemi002" 13 0.95
"1291" "hemi002" 14 1.1
"1292" "hemi002" 15 1.15
"1293" "hemi002" 16 1
"1294" "hemi002" 17 0.75
"1295" "hemi002" 18 0.49
"1296" "hemi002" 19 0.61
"1297" "hemi002" 20 0.84
"1298" "hemi003" 1 0.59
"1299" "hemi003" 2 0.86
"1300" "hemi003" 3 0.9
"1301" "hemi003" 4 0.6
"1302" "hemi003" 5 0.98
"1303" "hemi003" 6 0.94
"1304" "hemi003" 7 0.52
"1305" "hemi003" 8 0.91
"1306" "hemi003" 9 1.05
"1307" "hemi003" 10 0.9
"1308" "hemi003" 11 1
"1309" "hemi003" 12 0.9
"1310" "hemi003" 13 0.91
"1311" "hemi003" 14 1.1
"1312" "hemi003" 15 1
"1313" "hemi003" 16 0.82
"1314" "hemi003" 17 0.91
"1315" "hemi003" 18 1.1
"1316" "hemi003" 19 1
"1317" "hemi003" 20 0.83
"1318" "hemi004" 1 1.5
"1319" "hemi004" 2 1.5
"1320" "hemi004" 3 1.5
"1321" "hemi004" 4 1.5
"1322" "hemi004" 5 1.6
"1323" "hemi004" 6 1.65
"1324" "hemi004" 7 1.65
"1325" "hemi005" 1 1.7
"1326" "hemi005" 2 2.2
"1327" "hemi005" 3 1.7
"1328" "hemi006" 1 0.345
"1329" "hemi006" 2 0.49
"1330" "hemi006" 3 0.385
"1331" "hemi006" 4 0.475
"1332" "hemi006" 5 0.53
"1333" "hemi006" 6 0.53
"1334" "hemi006" 7 0.56
"1335" "hemi006" 8 0.54
"1336" "hemi006" 9 0.52
"1337" "hemi006" 10 0.455
"1338" "hemi006" 11 0.385
"1339" "hemi006" 12 0.56
"1340" "hemi006" 13 0.51
"1341" "hemi006" 14 0.5
"1342" "hemi006" 15 0.52
"1343" "hemi006" 16 0.5
"1344" "hemi006" 17 0.375
"1345" "hemi006" 18 0.52
"1346" "hemi006" 19 0.5
"1347" "hemi006" 20 0.4
"1348" "hemi007" 1 0.42
"1349" "hemi007" 2 0.475
"1350" "hemi007" 3 0.505
"1351" "hemi008" 1 0.35
"1352" "hemi008" 2 0.375
"1353" "hemi008" 3 0.26
"1354" "hemi008" 4 0.355
"1355" "hemi008" 5 0.37
"1356" "hemi008" 6 0.56
"1357" "hemi008" 7 0.49
"1358" "hemi008" 8 0.2
"1359" "hemi008" 9 0.43
"1360" "hemi008" 10 0.37
"1361" "hemi008" 11 0.395
"1362" "hemi008" 12 0.55
"1363" "hemi008" 13 0.58
"1364" "hemi008" 14 0.27
"1365" "hemi008" 15 0.28
"1366" "hemi008" 16 0.37
"1367" "hemi008" 17 0.26
"1368" "hemi008" 18 0.345
"1369" "hemi008" 19 0.36
"1370" "hemi008" 20 0.355
"1371" "hemi009" 1 0.375
"1372" "hemi009" 2 0.27
"1373" "hemi009" 3 0.325
"1374" "hemi009" 4 0.305
"1375" "hemi009" 5 0.305
"1376" "hemi009" 6 0.31
"1377" "hemi009" 7 0.485
"1378" "hemi009" 8 0.29
"1379" "hemi009" 9 0.245
"1380" "hemi009" 10 0.54
"1381" "hemi009" 11 0.38
"1382" "hemi009" 12 0.285
"1383" "hemi009" 13 0.32
"1384" "hemi009" 14 0.345
"1385" "hemi009" 15 0.29
"1386" "hemi009" 16 0.355
"1387" "hemi009" 17 0.365
"1388" "hemi009" 18 0.175
"1389" "hemi009" 19 0.265
"1390" "hemi009" 20 0.505
"1391" "hemi010" 1 0.43
"1392" "hemi010" 2 0.435
"1393" "hemi010" 3 0.36
"1394" "hemi010" 4 0.38
"1395" "hemi010" 5 0.395
"1396" "hemi010" 6 0.41
"1397" "hemi010" 7 0.385
"1398" "hemi010" 8 0.38
"1399" "hemi010" 9 0.43
"1400" "hemi010" 10 0.49
"1401" "hemi010" 11 0.375
"1402" "hemi010" 12 0.475
"1403" "hemi010" 13 0.36
"1404" "hemi010" 14 0.405
"1405" "hemi010" 15 0.36
"1406" "hemi010" 16 0.48
"1407" "hemi010" 17 0.58
"1408" "hemi010" 18 0.47
"1409" "hemi010" 19 0.475
"1410" "hemi010" 20 0.385
"1411" "hemi011" 1 0.57
"1412" "hemi011" 2 0.69
"1413" "hemi011" 3 0.73
"1414" "hemi011" 4 0.66
"1415" "hemi011" 5 0.69
"1416" "hemi011" 6 0.71
"1417" "hemi011" 7 0.72
"1418" "hemi011" 8 0.71
"1419" "hemi011" 9 0.72
"1420" "hemi011" 10 0.74
"1421" "hemi011" 11 0.71
"1422" "hemi011" 12 0.73
"1423" "hemi011" 13 0.73
"1424" "hemi011" 14 0.72
"1425" "hemi011" 15 0.72
"1426" "hemi011" 16 0.72
"1427" "hemi011" 17 0.7
"1428" "hemi011" 18 0.74
"1429" "hemi011" 19 0.71
"1430" "hemi011" 20 0.68
"1431" "hemi012" 1 0.62
"1432" "hemi012" 2 0.6
"1433" "hemi012" 3 0.63
"1434" "hemi012" 4 0.62
"1435" "hemi012" 5 0.65
"1436" "hemi012" 6 0.64
"1437" "hemi012" 7 0.66
"1438" "hemi012" 8 0.66
"1439" "hemi012" 9 0.65
"1440" "hemi012" 10 0.63
"1441" "hemi012" 11 0.63
"1442" "hemi012" 12 0.66
"1443" "hemi012" 13 0.6
"1444" "hemi012" 14 0.65
"1445" "hemi012" 15 0.63
"1446" "hemi012" 16 0.61
"1447" "hemi012" 17 0.59
"1448" "hemi012" 18 0.61
"1449" "hemi012" 19 0.64
"1450" "hemi012" 20 0.65
"1451" "hemi013" 1 1.1
"1452" "hemi013" 2 1.1
"1453" "hemi013" 3 1.1
"1454" "hemi014" 1 0.83
"1455" "hemi014" 2 0.85
"1456" "hemi014" 3 0.89
"1457" "hemi014" 4 0.84
"1458" "hemi014" 5 0.89
"1459" "hemi014" 6 0.87
"1460" "hemi014" 7 0.91
"1461" "hemi014" 8 0.83
"1462" "hemi014" 9 0.75
"1463" "hemi014" 10 0.71
"1464" "hemi014" 11 0.9
"1465" "hemi014" 12 0.77
"1466" "hemi014" 13 0.74
"1467" "hemi014" 14 0.86
"1468" "hemi014" 15 0.89
"1469" "hemi014" 16 0.69
"1470" "hemi014" 17 0.83
"1471" "hemi014" 18 0.9
"1472" "hemi014" 19 0.75
"1473" "hemi014" 20 0.83
"1474" "hemi015" 1 1.3
"1475" "hemi016" 1 0.52
"1476" "hemi016" 2 0.465
"1477" "hemi016" 3 0.56
"1478" "hemi016" 4 0.425
"1479" "hemi016" 5 0.54
"1480" "hemi016" 6 0.51
"1481" "hemi016" 7 0.47
"1482" "hemi016" 8 0.53
"1483" "hemi016" 9 0.53
"1484" "hemi017" 1 0.59
"1485" "hemi017" 2 0.62
"1486" "hemi017" 3 0.56
"1487" "hemi017" 4 0.69
"1488" "hemi017" 5 0.59
"1489" "hemi017" 6 0.69
"1490" "hemi017" 7 0.63
"1491" "hemi017" 8 0.68
"1492" "hemi017" 9 0.72
"1493" "hemi017" 10 0.71
"1494" "hemi017" 11 0.47
"1495" "hemi017" 12 0.39
"1496" "hemi017" 13 0.66
"1497" "hemi017" 14 0.48
"1498" "hemi017" 15 0.56
"1499" "hemi017" 16 0.67
"1500" "hemi017" 17 0.71
"1501" "hemi017" 18 0.52
"1502" "hemi017" 19 0.7
"1503" "hemi017" 20 0.7
"1504" "hemi018" 1 0.67
"1505" "hemi018" 2 0.82
"1506" "hemi018" 3 0.67
"1507" "hemi018" 4 0.65
"1508" "hemi018" 5 0.6
"1509" "hemi018" 6 0.77
"1510" "hemi018" 7 0.84
"1511" "hemi018" 8 0.63
"1512" "hemi018" 9 0.89
"1513" "hemi018" 10 0.66
"1514" "hemi018" 11 0.88
"1515" "hemi018" 12 0.85
"1516" "hemi018" 13 0.86
"1517" "hemi018" 14 0.87
"1518" "hemi018" 15 0.85
"1519" "hemi018" 16 0.66
"1520" "hemi018" 17 0.67
"1521" "hemi018" 18 0.66
"1522" "hemi018" 19 0.66
"1523" "hemi018" 20 0.66
"1524" "hemi019" 1 0.8
"1525" "hemi019" 2 0.83
"1526" "hemi019" 3 0.76
"1527" "hemi019" 4 1
"1528" "hemi019" 5 0.88
"1529" "hemi019" 6 0.82
"1530" "hemi019" 7 0.99
"1531" "hemi019" 8 0.97
"1532" "hemi019" 9 1
"1533" "hemi019" 10 0.76
"1534" "hemi020" 1 1.8
"1535" "hemi020" 2 1.8
"1536" "hemi020" 3 1.8
"1537" "hemi020" 4 1.8
"1538" "hemi020" 5 1.2
"1539" "hemi020" 6 2.2
"1540" "hemi020" 7 1.6
"1541" "hemi020" 8 1.6
"1542" "hemi020" 9 1.7
"1543" "hemi021" 1 2.5
"1544" "hemi021" 2 2.4
"1545" "hemi021" 3 2.1
"1546" "hemi021" 4 2
"1547" "hemi021" 5 2.1
"1548" "hemi021" 6 2.5
"1549" "hemi021" 7 2.3
"1550" "hemi021" 8 2.2
"1551" "hemi021" 9 2.1
"1552" "hemi021" 10 1.7
"1553" "hemi021" 11 2.2
"1554" "hemi021" 12 2.3
"1555" "hemi022" 1 0.335
"1556" "hemi023" 1 0.57
"1557" "hemi023" 2 0.57
"1558" "hemi023" 3 0.6
"1559" "hemi023" 4 0.48
"1560" "hemi023" 5 0.53
"1561" "hemi023" 6 0.46
"1562" "hemi023" 7 0.54
"1563" "hemi023" 8 0.62
"1564" "hemi023" 9 0.385
"1565" "hemi023" 10 0.52
"1566" "hemi023" 11 0.66
"1567" "hemi023" 12 0.6
"1568" "hemi023" 13 0.65
"1569" "hemi023" 14 0.67
"1570" "hemi023" 15 0.63
"1571" "hemi023" 16 0.56
"1572" "hemi023" 17 0.6
"1573" "hemi023" 18 0.51
"1574" "hemi023" 19 0.65
"1575" "hemi024" 1 1.4
"1576" "hemi025" 1 1.4
"1577" "hemi025" 2 1.5
"1578" "hemi025" 3 1.5
"1579" "hemi025" 4 1.4
"1580" "hemi025" 5 1.4
"1581" "hemi025" 6 1.4
"1582" "hemi025" 7 1.5
"1583" "hemi025" 8 1.4
"1584" "hemi025" 9 1.4
"1585" "hemi025" 10 1.5
"1586" "hemi025" 11 1.3
"1587" "hemi025" 12 1.3
"1588" "hemi025" 13 1.5
"1589" "hemi025" 14 1.5
"1590" "hemi025" 15 1.4
"1591" "hemi025" 16 1.5
"1592" "hemi025" 17 1.4
"1593" "hemi026" 1 0.5
"1594" "hemi026" 2 0.75
"1595" "hemi026" 3 0.94
"1596" "hemi026" 4 0.73
"1597" "hemi027" 1 0.275
"1598" "hemi027" 2 0.28
"1599" "hemi028" 1 0.83
"1600" "hemi028" 2 0.95
"1601" "hemi028" 3 0.95
"1602" "hemi028" 4 1.3
"1603" "hemi028" 5 1.02
"1604" "hemi028" 6 0.99
"1605" "hemi028" 7 1.1
"1606" "hemi028" 8 0.98
"1607" "hemi028" 9 1.2
"1608" "hemi028" 10 1.1
"1609" "hemi028" 11 1.4
"1610" "hemi028" 12 0.99
"1611" "hemi028" 13 1
"1612" "hemi028" 14 0.67
"1613" "hemi028" 15 0.76
"1614" "hemi028" 16 0.86
"1615" "hemi028" 17 0.8
"1616" "hemi028" 18 1
"1617" "hemi028" 19 0.93
"1618" "hemi028" 20 1
"1619" "hemi029" 1 1.6
"1620" "hemi030" 1 0.88
"1621" "hemi030" 2 0.8
"1622" "hemi030" 3 1.1
"1623" "hemi030" 4 0.95
"1624" "hemi030" 5 1.2
"1625" "hemi030" 6 0.85
"1626" "hemi030" 7 0.89
"1627" "hemi030" 8 1.2
"1628" "hemi030" 9 0.99
"1629" "hemi030" 10 1.2
"1630" "hemi030" 11 1.1
"1631" "hemi031" 1 0.61
"1632" "hemi031" 2 0.69
"1633" "hemi031" 3 0.62
"1634" "hemi031" 4 0.66
"1635" "hemi031" 5 0.65
"1636" "hemi031" 6 0.65
"1637" "hemi031" 7 0.6
"1638" "hemi031" 8 0.63
"1639" "hemi031" 9 0.63
"1640" "hemi031" 10 0.6
"1641" "hemi031" 11 0.62
"1642" "hemi031" 12 0.61
"1643" "hemi031" 13 0.61
"1644" "hemi031" 14 0.64
"1645" "hemi031" 15 0.92
"1646" "hemi031" 16 0.64
"1647" "hemi032" 1 1.3
"1648" "hemi032" 2 1.4
"1649" "hemi033" 1 1.6
"1650" "hemi034" 1 0.42
"1651" "hemi034" 2 0.58
"1652" "hemi034" 3 0.405
"1653" "hemi034" 4 0.63
"1654" "hemi035" 1 0.84
"1655" "hemi035" 2 0.78
"1656" "hemi035" 3 0.84
"1657" "hemi035" 4 0.85
"1658" "hemi035" 5 0.7
"1659" "hemi035" 6 0.75
"1660" "hemi035" 7 0.73
"1661" "hemi035" 8 0.76
"1662" "hemi035" 9 0.65
"1663" "hemi035" 10 0.66
"1664" "hemi035" 11 0.79
"1665" "hemi035" 12 0.88
"1666" "hemi035" 13 0.75
"1667" "hemi035" 14 0.7
"1668" "hemi036" 1 0.53
"1669" "hemi036" 2 0.73
"1670" "hemi036" 3 0.59
"1671" "hemi036" 4 0.58
"1672" "hemi036" 5 0.91
"1673" "hemi036" 6 0.64
"1674" "hemi037" 1 1.7
"1675" "hemi037" 2 1.6
"1676" "hemi037" 3 1.6
"1677" "hemi037" 4 1.5
"1678" "hemi037" 5 1.6
"1679" "hemi037" 6 1.7
"1680" "hemi038" 1 0.6
"1681" "hemi038" 2 0.58
"1682" "hemi038" 3 0.54
"1683" "hemi038" 4 0.51
"1684" "hemi038" 5 0.59
"1685" "hemi038" 6 0.72
"1686" "hemi038" 7 0.52
"1687" "hemi038" 8 0.52
"1688" "hemi039" 1 0.34
"1689" "hemi039" 2 0.315
"1690" "hemi039" 3 0.48
"1691" "hemi039" 4 0.495
"1692" "hemi039" 5 0.36
"1693" "hemi039" 6 0.475
"1694" "hemi039" 7 0.475
"1695" "hemi039" 8 0.38
"1696" "hemi039" 9 0.325
"1697" "hemi039" 10 0.38
"1698" "hemi039" 11 0.355
"1699" "hemi039" 12 0.34
"1700" "hemi039" 13 0.62
"1701" "hemi039" 14 0.37
"1702" "hemi039" 15 0.385
"1703" "hemi039" 16 0.345
"1704" "hemi039" 17 0.365
"1705" "hemi039" 18 0.345
"1706" "hemi039" 19 0.495
"1707" "hemi039" 20 0.56
"1708" "hemi040" 1 1.5
"1709" "hemi041" 1 0.94
"1710" "hemi042" 1 0.82
"1711" "hemi043" 1 0.63
"1712" "hemi043" 2 0.75
"1713" "hemi044" 1 0.97
"1714" "hemi044" 2 0.96
"1715" "hemi044" 3 0.79
"1716" "hemi044" 4 0.91
"1717" "hemi044" 5 0.92
"1718" "hemi044" 6 0.97
"1719" "hemi045" 1 1.4
"1720" "hemi045" 2 0.53
"1721" "hemi045" 3 0.64
"1722" "hemi045" 4 1.3
"1723" "hemi045" 5 1.4
"1724" "hemi045" 6 1.3
"1725" "hemi045" 7 1.4
"1726" "hemi045" 8 1.4
"1727" "hemi045" 9 1.4
"1728" "hemi045" 10 1.3
"1729" "hemi045" 11 1.4
"1730" "hemi045" 12 1.4
"1731" "hemi045" 13 1.3
"1732" "hemi045" 14 1.1
"1733" "hemi046" 1 0.7
"1734" "hemi047" 1 2.1
"1735" "hemi047" 2 2.1
"1736" "hemi047" 3 2.1
"1737" "hemi047" 4 2.1
"1738" "hemi047" 5 2
"1739" "hemi047" 6 2
"1740" "hemi047" 7 2
"1741" "hemi047" 8 2.1
"1742" "hemi047" 9 2
"1743" "hemi047" 10 2.1
"1744" "hemi047" 11 2
"1745" "hemi048" 1 1.9
"1746" "hemi048" 2 1.7
"1747" "hemi049" 1 0.73
"1748" "hemi049" 2 0.61
"1749" "hemi050" 1 1.4
"1750" "hemi051" 1 2.1
"1751" "hemi051" 2 2.1
"1752" "hemi051" 3 2.1
"1753" "hemi051" 4 2
"1754" "hemi052" 1 0.74
"1755" "hemi053" 1 0.7
"1756" "hemi054" 1 2
"1757" "hemi055" 1 1.7
"1758" "hemi055" 2 1.4
"1759" "hemi055" 3 1.4
"1760" "hemi055" 4 1.4
"1761" "hemi055" 5 1.5
"1762" "hemi055" 6 1.4
"1763" "hemi055" 7 1.6
"1764" "hemi055" 8 1.4
"1765" "hemi055" 9 1.5
"1766" "hemi056" 1 2.3
"1767" "hemi057" 1 0.55
"1768" "hemi058" 1 0.92
"1769" "hemi059" 1 0.45
"1770" "hemi059" 2 0.335
"1771" "hemi059" 3 0.46
"1772" "hemi059" 4 0.495
"1773" "hemi059" 5 0.465
"1774" "hemi059" 6 0.475
"1775" "hemi059" 7 0.475
"1776" "hemi059" 8 0.46
"1777" "hemi059" 9 0.48
