morphotype,amount,plot,tree,date,adult/larvae
orth013,1,w1g6p3,piptar,7/14/2016,L
orth043,1,w1g6p3,piptar,7/14/2016,L
orth028,1,w1g6p3,piptar,7/14/2016,L
orth026,2,w1g6p3,piptar,7/14/2016,A
orth052,1,w1g6p3,piptar,7/14/2016,L
orth054,5,w1g6p3,piptar,7/14/2016,L
orth033,5,w1g6p3,piptar,7/14/2016,L
orth020,2,w1g6p3,piptar,7/14/2016,L
orth015,3,w1g6p3,piptar,7/14/2016,L
orth031,5,w1g6p3,piptar,7/14/2016,L
orth008,1,w1g6p3,piptar,7/14/2016,L
orth032,2,w1g6p3,piptar,7/14/2016,A
orth052,2,w1g6p3,breyce,7/14/2016,L
orth011,1,w1g6p3,tremor,7/14/2016,L
orth030,1,w1g6p3,tremor,7/14/2016,L
orth044,1,w1g6p3,tremor,7/14/2016,L
orth019,1,w1g6p3,tremor,7/14/2016,L
orth015,3,w1g6p3,tremor,7/14/2016,L
orth054,5,w1g6p3,tremor,7/14/2016,L
orth055,1,w1g2p6,macata,8/6/2016,A
orth056,1,w1g2p6,macata,8/6/2016,L
orth055,1,w1g2p6,melamu,8/6/2016,A
orth057,1,w1g2p6,melamu,8/6/2016,L
orth007,2,w1g2p6,melamu,8/6/2016,L
orth019,3,w1g2p6,melamu,8/6/2016,L
orth003,3,w1g2p6,melamu,8/6/2016,A
orth014,2,w1g2p6,melamu,8/6/2016,A
orth043,2,w1g2p6,melamu,8/6/2016,A
orth021,1,w1g2p6,melamu,8/6/2016,L
orth008,1,w1g2p6,melamu,8/6/2016,L
orth048,1,w1g2p6,cordte,8/6/2016,L
orth015,2,w1g2p6,cordte,8/6/2016,L
orth013,1,w1g2p6,cordte,8/6/2016,L
orth013,1,w1g2p6,piptar,8/6/2016,L
orth004,1,w1g2p6,piptar,8/6/2016,L
orth019,1,w1g2p6,piptar,8/6/2016,L
orth031,1,w1g2p6,piptar,8/6/2016,L
orth052,1,w1g2p6,piptar,8/6/2016,L
orth028,1,w1g2p6,piptar,8/6/2016,L
orth001,2,w1g2p6,viteco,8/6/2016,L
orth031,2,w1g2p6,viteco,8/6/2016,L
orth033,1,w1g2p6,viteco,8/6/2016,L
orth044,1,w1g2p6,viteco,8/6/2016,L
orth016,1,w1g2p6,viteco,8/6/2016,L
orth005,1,w1g2p6,viteco,8/6/2016,L
orth006,1,w1g2p6,viteco,8/6/2016,L
orth031,5,w1g6p5,piptar,7/11/2016,L
orth020,17,w1g6p5,piptar,7/11/2016,L
orth035,1,w1g6p5,piptar,7/11/2016,L
orth012,2,w1g6p5,piptar,7/11/2016,L
orth017,1,w1g6p5,piptar,7/11/2016,L
orth048,1,w1g6p5,piptar,7/11/2016,L
orth008,1,w1g6p5,piptar,7/11/2016,L
orth059,1,w1g6p5,piptar,7/11/2016,A
orth013,2,w1g6p5,piptar,7/11/2016,L
orth011,2,w1g6p5,piptar,7/11/2016,L
orth024,4,w1g6p5,piptar,7/11/2016,A
orth050,4,w1g6p5,piptar,7/11/2016,L
orth006,3,w1g6p5,piptar,7/11/2016,L
orth001,2,w1g6p5,piptar,7/11/2016,L
orth002,1,w1g6p5,piptar,7/11/2016,A
orth003,3,w1g6p5,piptar,7/11/2016,A
orth004,1,w1g6p5,piptar,7/11/2016,L
orth005,1,w1g6p5,piptar,7/11/2016,L
orth030,1,w1g6p5,piptar,7/11/2016,L
orth045,1,w1g6p5,piptar,7/11/2016,L
orth049,3,w1g6p5,piptar,7/11/2016,A
orth019,6,w1g6p5,piptar,7/11/2016,L
orth043,2,w1g6p5,piptar,7/11/2016,L
orth025,3,w1g6p5,piptar,7/11/2016,L
orth037,1,w1g6p5,piptar,7/11/2016,L
orth013,1,w1g6p5,tremor,7/11/2016,L
orth020,5,w1g6p5,tremor,7/11/2016,L
orth028,3,w1g6p5,tremor,7/11/2016,L
orth015,3,w1g6p5,tremor,7/11/2016,L
orth054,5,w1g6p5,tremor,7/11/2016,L
orth030,1,w1g6p5,tricpl,7/11/2016,L
orth045,2,w1g6p5,tricpl,7/11/2016,L
orth001,2,w1g6p5,tricpl,7/11/2016,L
orth002,1,w1g6p5,tricpl,7/11/2016,A
orth003,2,w1g6p5,tricpl,7/11/2016,A
orth024,9,w1g6p5,tricpl,7/11/2016,L
orth024,5,w1g6p5,tricpl,7/11/2016,A
orth011,1,w1g6p5,tricpl,7/11/2016,L
orth040,1,w1g6p5,tricpl,7/11/2016,A
orth013,4,w1g6p5,tricpl,7/11/2016,L
orth020,3,w1g6p5,tricpl,7/11/2016,L
orth028,5,w1g6p5,tricpl,7/11/2016,L
orth051,1,w1g6p5,tricpl,7/11/2016,L
orth043,1,w1g6p5,tricpl,7/11/2016,L
orth026,1,w1g6p5,tricpl,7/11/2016,A
orth037,1,w1g6p5,tricpl,7/11/2016,L
orth015,3,w1g6p5,tricpl,7/11/2016,L
orth050,2,w1g6p5,tricpl,7/11/2016,L
orth018,1,w1g6p5,tricpl,7/11/2016,L
orth001,5,w1g6p5,melamu,7/11/2016,L
orth013,1,w1g6p5,melamu,7/11/2016,L
orth019,2,w1g6p5,melamu,7/11/2016,L
orth004,1,w1g6p5,melamu,7/11/2016,L
orth024,2,w1g6p5,melamu,7/11/2016,L
